age,gender,religion,spokenLanguage,education,numberOfChildren,channel,goodPlace,goodPlaceScore,badPlace,badPlaceScore,teacherFriendly,choose,createdTime,travelTime,themeLevel
33,Male,Chinese God,Mandarin,Master or above,1,Newspaper/ Magazine,Bio Lab,6,VA room,6,Strongly Disagree,No,28/01/2022,53,Partly Dislike
33,Male,Confucianism,Filipino,University,4,Social Media,Phy Lab,7,Library,1,Disagree,,29/01/2022,26,Normal
52,Female,Protestantism,Vietnamese,Primary School or below,3,Newspaper/ Magazine,Basketball Court,0,Chem Lab,0,Strongly Disagree,Yes,29/01/2022,5,Partly Like
50,Female,Catholicism,Thai,Primary School or below,1,Newspaper/ Magazine,Chem Lab,8,Chem Lab,7,Strongly Disagree,No,29/01/2022,19,Strongly Like
24,Female,Buddhism,Thai,Primary School or below,0,Social Media,Canteen,5,Phy Lab,2,Strongly Disagree,Yes,29/01/2022,40,Partly Dislike
36,Male,Taoism,Filipino,University,3,Social Media,Basketball Court,6,Library,3,Agree,Yes,29/01/2022,12,Partly Like
60,Male,Confucianism,English,University,0,Newspaper/ Magazine,Library,7,Canteen,4,Strongly Agree,No,29/01/2022,33,Normal
18,Male,Islam,Filipino,University,3,Social Media,Bio Lab,0,Hall,10,Strongly Disagree,,28/01/2022,23,Partly Dislike
46,Male,Sikhism,Mandarin,University,4,School Website,Library,1,Phy Lab,8,Disagree,No,29/01/2022,34,Partly Dislike
39,Female,Hinduism,Filipino,Master or above,2,Friends/Extended Family/Neighbour,Bio Lab,2,Canteen,2,Strongly Agree,Yes,29/01/2022,59,Strongly Like
57,Agender,Catholicism,English,Secondary School/Associate Degree/Diploma,0,Newspaper/ Magazine,Canteen,4,VA room,9,Strongly Disagree,Yes,28/01/2022,5,Strongly Like
34,Female,Chinese God,Vietnamese,Primary School or below,0,Newspaper/ Magazine,Phy Lab,8,Chem Lab,6,Neutral,Yes,28/01/2022,46,Partly Dislike
18,Female,Buddhism,Cantonese,Master or above,1,Newspaper/ Magazine,Chem Lab,1,Phy Lab,5,Neutral,No,28/01/2022,38,Partly Dislike
20,Female,Catholicism,Cantonese,Primary School or below,4,Newspaper/ Magazine,Canteen,10,Library,3,Neutral,,28/01/2022,27,Partly Dislike
18,Polygender,Buddhism,English,University,0,School Website,VA room,9,Phy Lab,8,Agree,No,28/01/2022,55,Strongly Like
31,Non-binary,Buddhism,Vietnamese,Secondary School/Associate Degree/Diploma,4,Newspaper/ Magazine,Phy Lab,5,Chem Lab,10,Agree,No,28/01/2022,59,Strongly Dislike
38,Male,Confucianism,Vietnamese,University,1,Newspaper/ Magazine,Phy Lab,9,Chem Lab,7,Disagree,Yes,29/01/2022,9,Normal
28,Female,Buddhism,Thai,Secondary School/Associate Degree/Diploma,5,Newspaper/ Magazine,Library,3,Hall,10,Disagree,,28/01/2022,52,Strongly Like
49,Genderfluid,Buddhism,Filipino,Primary School or below,3,Social Media,Library,3,VA room,3,Agree,Yes,28/01/2022,18,Strongly Dislike
37,Male,Catholicism,Cantonese,Primary School or below,0,Friends/Extended Family/Neighbour,Hall,3,Library,1,Strongly Disagree,Yes,28/01/2022,8,Strongly Like
54,Female,Sikhism,English,Master or above,0,Newspaper/ Magazine,Library,6,Bio Lab,6,Agree,No,28/01/2022,39,Partly Like
38,Female,Hinduism,Cantonese,University,2,Friends/Extended Family/Neighbour,VA room,3,Basketball Court,4,Strongly Agree,No,29/01/2022,51,Partly Dislike
54,Female,Islam,Thai,Primary School or below,1,School Website,VA room,6,Phy Lab,9,Disagree,No,29/01/2022,37,Strongly Dislike
33,Female,Chinese God,Cantonese,Primary School or below,2,Friends/Extended Family/Neighbour,Phy Lab,9,Library,2,Disagree,No,29/01/2022,18,Strongly Dislike
32,Male,Hinduism,Cantonese,Master or above,3,Social Media,Chem Lab,0,Library,4,Neutral,Yes,28/01/2022,10,Strongly Like
59,Female,Chinese God,English,Secondary School/Associate Degree/Diploma,4,Friends/Extended Family/Neighbour,Bio Lab,9,Phy Lab,0,Strongly Disagree,,29/01/2022,33,Partly Dislike
42,Female,Islam,Cantonese,Secondary School/Associate Degree/Diploma,4,Social Media,Bio Lab,0,Bio Lab,7,Strongly Agree,No,29/01/2022,19,Partly Dislike
43,Male,Catholicism,English,Primary School or below,0,Friends/Extended Family/Neighbour,Basketball Court,10,Chem Lab,2,Disagree,Yes,29/01/2022,31,Partly Dislike
49,Female,Catholicism,Filipino,Secondary School/Associate Degree/Diploma,2,Social Media,Bio Lab,7,Hall,0,Strongly Disagree,Yes,29/01/2022,31,Partly Dislike
34,Female,Taoism,Filipino,Secondary School/Associate Degree/Diploma,5,Social Media,Bio Lab,1,Basketball Court,9,Disagree,Yes,28/01/2022,47,Strongly Like
35,Female,Islam,Filipino,Master or above,2,Social Media,Chem Lab,5,Phy Lab,10,Strongly Agree,Yes,28/01/2022,6,Partly Dislike
52,Female,Hinduism,Cantonese,Secondary School/Associate Degree/Diploma,2,Friends/Extended Family/Neighbour,Basketball Court,8,Bio Lab,6,Disagree,,28/01/2022,14,Partly Dislike
32,Female,Buddhism,Indonesian,Secondary School/Associate Degree/Diploma,3,Newspaper/ Magazine,Library,9,Phy Lab,2,Strongly Disagree,No,29/01/2022,44,Partly Dislike
57,Male,Catholicism,English,University,5,Newspaper/ Magazine,VA room,1,Library,5,Disagree,No,28/01/2022,48,Strongly Like
31,Male,Buddhism,Mandarin,Master or above,3,School Website,Canteen,0,Bio Lab,3,Agree,No,28/01/2022,43,Partly Dislike
59,Female,Protestantism,Indonesian,Master or above,0,Friends/Extended Family/Neighbour,Basketball Court,1,Phy Lab,3,Neutral,No,29/01/2022,41,Partly Dislike
50,Male,Islam,Thai,Primary School or below,3,Friends/Extended Family/Neighbour,Canteen,5,Canteen,7,Agree,No,29/01/2022,53,Strongly Dislike
26,Female,Protestantism,Filipino,University,5,Social Media,Phy Lab,4,Bio Lab,5,Neutral,Yes,28/01/2022,44,Partly Like
19,Non-binary,Sikhism,Thai,University,5,Newspaper/ Magazine,Basketball Court,6,Chem Lab,2,Agree,Yes,29/01/2022,53,Partly Like
54,Male,Islam,Filipino,Secondary School/Associate Degree/Diploma,4,Friends/Extended Family/Neighbour,Basketball Court,0,VA room,8,Neutral,Yes,29/01/2022,41,Normal
55,Female,Catholicism,Mandarin,University,5,School Website,Chem Lab,9,Chem Lab,4,Agree,,28/01/2022,18,Strongly Like
39,Female,Taoism,English,Secondary School/Associate Degree/Diploma,5,Social Media,Hall,10,Chem Lab,4,Strongly Disagree,,28/01/2022,59,Normal
60,Polygender,Chinese God,Thai,University,0,Newspaper/ Magazine,Bio Lab,6,Canteen,10,Neutral,No,29/01/2022,47,Partly Dislike
31,Male,Islam,Mandarin,University,4,School Website,Library,1,VA room,0,Neutral,Yes,29/01/2022,18,Partly Like
58,Male,Islam,English,Master or above,1,Newspaper/ Magazine,Chem Lab,10,Library,9,Strongly Disagree,No,28/01/2022,11,Normal
21,Female,Sikhism,Indonesian,University,4,Social Media,Chem Lab,10,Chem Lab,9,Disagree,No,29/01/2022,30,Strongly Like
18,Agender,Chinese God,English,University,4,Social Media,Bio Lab,0,Bio Lab,6,Neutral,,29/01/2022,59,Partly Dislike
42,Male,Protestantism,English,University,1,Social Media,Basketball Court,10,Canteen,0,Agree,Yes,28/01/2022,44,Partly Dislike
38,Male,Buddhism,Indonesian,Master or above,4,School Website,Library,0,Canteen,5,Strongly Agree,Yes,28/01/2022,36,Strongly Like
58,Male,Hinduism,Thai,Primary School or below,1,School Website,VA room,7,Library,6,Disagree,Yes,29/01/2022,52,Partly Dislike
23,Female,Chinese God,English,Master or above,3,Newspaper/ Magazine,Hall,8,Phy Lab,8,Agree,Yes,28/01/2022,30,Partly Like
25,Female,Chinese God,Filipino,University,1,Newspaper/ Magazine,Basketball Court,4,Chem Lab,2,Strongly Disagree,No,29/01/2022,37,Normal
43,Male,Islam,Thai,University,4,Social Media,Library,0,Library,10,Agree,Yes,29/01/2022,48,Partly Like
58,Agender,Islam,Filipino,Secondary School/Associate Degree/Diploma,4,Social Media,Bio Lab,1,Bio Lab,9,Disagree,No,29/01/2022,33,Partly Like
52,Male,Buddhism,Cantonese,Primary School or below,0,Newspaper/ Magazine,Hall,1,Hall,4,Agree,,29/01/2022,47,Partly Like
23,Male,Confucianism,Mandarin,University,2,School Website,Basketball Court,6,Hall,3,Agree,No,28/01/2022,12,Partly Like
25,Female,Buddhism,Vietnamese,Secondary School/Associate Degree/Diploma,2,Newspaper/ Magazine,Basketball Court,0,Canteen,8,Agree,Yes,29/01/2022,7,Partly Like
58,Female,Islam,English,Primary School or below,1,Social Media,VA room,10,VA room,7,Disagree,No,28/01/2022,46,Strongly Like
31,Male,Islam,Mandarin,Primary School or below,4,School Website,Chem Lab,10,Chem Lab,9,Strongly Agree,No,28/01/2022,5,Partly Like
18,Female,Taoism,Cantonese,University,2,Newspaper/ Magazine,VA room,9,Basketball Court,7,Agree,Yes,29/01/2022,8,Normal
39,Male,Hinduism,Cantonese,Master or above,2,Friends/Extended Family/Neighbour,Phy Lab,3,Phy Lab,3,Disagree,Yes,29/01/2022,28,Strongly Like
40,Male,Taoism,Mandarin,Master or above,0,School Website,VA room,1,Phy Lab,6,Disagree,Yes,28/01/2022,40,Normal
54,Male,Chinese God,Cantonese,University,3,Social Media,Basketball Court,0,Bio Lab,9,Agree,Yes,28/01/2022,5,Partly Like
44,Female,Confucianism,Thai,Primary School or below,5,Social Media,Canteen,7,Bio Lab,10,Strongly Disagree,No,29/01/2022,45,Partly Dislike
26,Female,Buddhism,Mandarin,University,4,Friends/Extended Family/Neighbour,Canteen,10,Chem Lab,3,Strongly Agree,Yes,28/01/2022,52,Partly Like
21,Male,Catholicism,Vietnamese,University,4,Newspaper/ Magazine,VA room,0,VA room,4,Disagree,No,29/01/2022,30,Partly Like
54,Female,Chinese God,Vietnamese,Secondary School/Associate Degree/Diploma,1,School Website,Bio Lab,0,VA room,0,Strongly Agree,No,28/01/2022,13,Partly Like
52,Genderfluid,Islam,Filipino,Primary School or below,2,Social Media,Canteen,3,VA room,6,Neutral,No,29/01/2022,30,Strongly Dislike
42,Female,Hinduism,English,Master or above,2,School Website,Library,2,Phy Lab,4,Neutral,Yes,29/01/2022,51,Strongly Dislike
50,Male,Chinese God,Cantonese,Master or above,4,Social Media,Chem Lab,0,Canteen,9,Disagree,No,28/01/2022,40,Partly Like
35,Female,Buddhism,Cantonese,Secondary School/Associate Degree/Diploma,4,School Website,VA room,3,Basketball Court,10,Neutral,Yes,28/01/2022,12,Partly Dislike
44,Male,Chinese God,Indonesian,Primary School or below,5,Newspaper/ Magazine,Basketball Court,0,Canteen,3,Strongly Agree,Yes,29/01/2022,43,Normal
42,Female,Hinduism,Indonesian,University,3,Newspaper/ Magazine,Basketball Court,5,Chem Lab,8,Strongly Disagree,No,29/01/2022,55,Strongly Like
27,Male,Catholicism,Cantonese,Primary School or below,0,School Website,VA room,1,Canteen,9,Strongly Agree,No,28/01/2022,60,Normal
18,Male,Confucianism,Vietnamese,Secondary School/Associate Degree/Diploma,3,Social Media,Canteen,3,Library,10,Neutral,No,29/01/2022,7,Partly Like
52,Male,Taoism,Filipino,Secondary School/Associate Degree/Diploma,3,Newspaper/ Magazine,Phy Lab,9,Hall,6,Strongly Agree,Yes,29/01/2022,52,Normal
39,Male,Confucianism,Thai,Master or above,5,Friends/Extended Family/Neighbour,Canteen,10,Library,7,Agree,No,29/01/2022,14,Normal
21,Male,Catholicism,Filipino,Secondary School/Associate Degree/Diploma,1,School Website,Hall,9,Chem Lab,6,Disagree,Yes,28/01/2022,48,Normal
57,Female,Chinese God,Vietnamese,Secondary School/Associate Degree/Diploma,4,School Website,Basketball Court,10,Chem Lab,2,Neutral,No,29/01/2022,19,Partly Like
52,Female,Taoism,Vietnamese,University,2,Friends/Extended Family/Neighbour,Hall,3,Bio Lab,4,Strongly Agree,,29/01/2022,58,Strongly Like
51,Male,Protestantism,Vietnamese,Primary School or below,3,Friends/Extended Family/Neighbour,Hall,3,Bio Lab,3,Disagree,No,28/01/2022,53,Partly Like
39,Male,Taoism,English,Primary School or below,5,Friends/Extended Family/Neighbour,Hall,7,Library,10,Disagree,No,28/01/2022,54,Normal
39,Female,Protestantism,Vietnamese,Secondary School/Associate Degree/Diploma,5,Social Media,Canteen,6,Chem Lab,1,Disagree,Yes,29/01/2022,8,Partly Like
41,Male,Protestantism,Filipino,Primary School or below,1,Newspaper/ Magazine,Phy Lab,2,Canteen,2,Strongly Agree,No,28/01/2022,48,Strongly Like
56,Female,Taoism,Thai,Master or above,2,Friends/Extended Family/Neighbour,Basketball Court,7,Library,7,Agree,Yes,29/01/2022,44,Partly Like
43,Female,Catholicism,English,University,2,Newspaper/ Magazine,Phy Lab,8,Basketball Court,0,Agree,Yes,29/01/2022,25,Partly Dislike
54,Male,Sikhism,Filipino,Master or above,2,Newspaper/ Magazine,Hall,3,Basketball Court,5,Neutral,,28/01/2022,40,Strongly Like
52,Male,Hinduism,Cantonese,Secondary School/Associate Degree/Diploma,0,Social Media,Basketball Court,2,Hall,3,Disagree,No,28/01/2022,45,Strongly Like
28,Genderfluid,Taoism,English,Secondary School/Associate Degree/Diploma,1,School Website,VA room,8,Bio Lab,5,Strongly Agree,No,28/01/2022,12,Normal
53,Male,Sikhism,Filipino,Master or above,1,Social Media,Canteen,10,Hall,0,Strongly Agree,No,29/01/2022,50,Strongly Like
49,Female,Chinese God,Filipino,University,1,Newspaper/ Magazine,Basketball Court,3,Phy Lab,10,Strongly Agree,Yes,29/01/2022,45,Strongly Dislike
20,Male,Islam,Thai,Secondary School/Associate Degree/Diploma,4,Social Media,VA room,1,Bio Lab,10,Strongly Agree,No,28/01/2022,55,Strongly Like
27,Male,Sikhism,English,Master or above,3,School Website,VA room,4,Hall,5,Neutral,Yes,29/01/2022,26,Normal
28,Male,Taoism,Mandarin,Primary School or below,2,Friends/Extended Family/Neighbour,VA room,4,Phy Lab,2,Agree,Yes,28/01/2022,60,Partly Dislike
18,Male,Confucianism,Filipino,Master or above,3,Newspaper/ Magazine,Phy Lab,8,VA room,10,Disagree,Yes,28/01/2022,20,Partly Like
40,Genderqueer,Taoism,Vietnamese,University,1,Newspaper/ Magazine,Chem Lab,2,VA room,4,Disagree,No,29/01/2022,22,Normal
42,Male,Hinduism,Cantonese,Secondary School/Associate Degree/Diploma,5,School Website,Chem Lab,9,Library,1,Strongly Agree,No,29/01/2022,43,Normal
48,Male,Islam,Mandarin,Master or above,3,Friends/Extended Family/Neighbour,Bio Lab,2,Canteen,0,Agree,Yes,29/01/2022,36,Strongly Dislike
18,Female,Islam,Cantonese,Master or above,0,Newspaper/ Magazine,Library,0,Canteen,8,Agree,Yes,29/01/2022,48,Strongly Like
56,Non-binary,Sikhism,Mandarin,Primary School or below,5,Social Media,Canteen,3,VA room,8,Agree,Yes,29/01/2022,25,Strongly Dislike
21,Female,Protestantism,Thai,University,1,School Website,Phy Lab,0,VA room,1,Strongly Disagree,Yes,29/01/2022,53,Strongly Like
38,Female,Confucianism,English,University,5,Newspaper/ Magazine,Bio Lab,0,Library,9,Neutral,No,29/01/2022,57,Partly Dislike
38,Female,Hinduism,Filipino,University,2,Friends/Extended Family/Neighbour,Chem Lab,9,Canteen,10,Strongly Disagree,Yes,29/01/2022,49,Partly Like
41,Female,Sikhism,Thai,University,1,Newspaper/ Magazine,VA room,6,Phy Lab,10,Agree,Yes,28/01/2022,54,Strongly Dislike
19,Non-binary,Protestantism,Filipino,University,2,Social Media,Canteen,9,Phy Lab,5,Disagree,No,29/01/2022,49,Strongly Like
45,Male,Hinduism,Indonesian,University,4,Friends/Extended Family/Neighbour,Bio Lab,6,VA room,6,Disagree,Yes,28/01/2022,48,Strongly Dislike
55,Female,Chinese God,Mandarin,Primary School or below,0,Newspaper/ Magazine,Basketball Court,0,Library,9,Strongly Agree,Yes,29/01/2022,41,Strongly Like
37,Male,Sikhism,Vietnamese,Secondary School/Associate Degree/Diploma,2,Social Media,Phy Lab,5,Bio Lab,7,Agree,Yes,29/01/2022,55,Strongly Dislike
46,Male,Chinese God,Indonesian,Secondary School/Associate Degree/Diploma,3,School Website,Chem Lab,6,Chem Lab,10,Agree,No,29/01/2022,50,Strongly Like
56,Male,Chinese God,Indonesian,Secondary School/Associate Degree/Diploma,1,Friends/Extended Family/Neighbour,Hall,10,Phy Lab,5,Strongly Disagree,Yes,28/01/2022,12,Strongly Like
42,Female,Hinduism,Indonesian,Secondary School/Associate Degree/Diploma,4,School Website,Canteen,2,Library,5,Disagree,No,29/01/2022,58,Strongly Like
37,Male,Chinese God,Indonesian,Primary School or below,0,School Website,Bio Lab,0,Canteen,7,Neutral,No,28/01/2022,40,Strongly Like
34,Male,Confucianism,Filipino,University,0,Newspaper/ Magazine,Canteen,0,Hall,9,Disagree,No,28/01/2022,55,Strongly Like
29,Female,Islam,Mandarin,Master or above,0,Newspaper/ Magazine,Hall,10,Library,6,Strongly Disagree,Yes,29/01/2022,40,Strongly Dislike
60,Female,Catholicism,Indonesian,Secondary School/Associate Degree/Diploma,4,Social Media,Canteen,9,Canteen,8,Strongly Disagree,Yes,29/01/2022,8,Partly Dislike
43,Male,Sikhism,Filipino,University,2,Social Media,Basketball Court,2,Phy Lab,3,Strongly Disagree,,29/01/2022,26,Normal
59,Male,Islam,Mandarin,Primary School or below,0,Friends/Extended Family/Neighbour,Bio Lab,9,Hall,3,Strongly Agree,No,29/01/2022,48,Partly Like
20,Female,Protestantism,Mandarin,Master or above,5,Newspaper/ Magazine,Basketball Court,1,Basketball Court,0,Agree,No,29/01/2022,36,Strongly Like
51,Female,Taoism,Thai,University,2,Newspaper/ Magazine,Hall,8,Basketball Court,7,Disagree,No,29/01/2022,33,Normal
22,Male,Taoism,Indonesian,Primary School or below,5,Friends/Extended Family/Neighbour,VA room,2,Bio Lab,4,Disagree,No,29/01/2022,34,Strongly Dislike
58,Female,Buddhism,Mandarin,University,0,Newspaper/ Magazine,Basketball Court,2,Bio Lab,9,Disagree,,28/01/2022,8,Partly Like
25,Male,Islam,Filipino,Secondary School/Associate Degree/Diploma,5,School Website,Hall,10,Library,10,Strongly Disagree,Yes,28/01/2022,44,Strongly Like
57,Male,Protestantism,English,Primary School or below,2,Newspaper/ Magazine,VA room,8,VA room,3,Neutral,Yes,28/01/2022,54,Partly Like
51,Female,Hinduism,Vietnamese,Secondary School/Associate Degree/Diploma,5,Friends/Extended Family/Neighbour,Chem Lab,8,Canteen,9,Strongly Disagree,Yes,28/01/2022,13,Partly Like
60,Female,Catholicism,Thai,Secondary School/Associate Degree/Diploma,3,Friends/Extended Family/Neighbour,Hall,8,Canteen,3,Strongly Agree,No,29/01/2022,46,Partly Dislike
56,Male,Sikhism,Indonesian,Primary School or below,5,Social Media,Basketball Court,1,Chem Lab,10,Strongly Agree,No,29/01/2022,60,Partly Like
42,Male,Chinese God,Vietnamese,Master or above,3,Newspaper/ Magazine,VA room,1,Phy Lab,0,Disagree,Yes,29/01/2022,9,Normal
38,Male,Sikhism,Cantonese,Secondary School/Associate Degree/Diploma,4,Social Media,VA room,0,VA room,6,Strongly Agree,No,29/01/2022,56,Partly Like
19,Genderqueer,Taoism,English,University,0,Newspaper/ Magazine,Bio Lab,3,Chem Lab,7,Neutral,No,28/01/2022,21,Partly Like
54,Male,Chinese God,Indonesian,Secondary School/Associate Degree/Diploma,5,School Website,Hall,1,Phy Lab,7,Strongly Agree,,28/01/2022,46,Strongly Dislike
56,Male,Buddhism,English,University,2,Newspaper/ Magazine,Basketball Court,0,Phy Lab,4,Neutral,No,28/01/2022,42,Partly Dislike
51,Female,Hinduism,Cantonese,University,0,School Website,Basketball Court,4,VA room,5,Neutral,Yes,28/01/2022,9,Partly Dislike
48,Agender,Catholicism,Cantonese,Master or above,3,Newspaper/ Magazine,Bio Lab,3,Phy Lab,0,Agree,Yes,28/01/2022,9,Strongly Like
45,Male,Buddhism,Vietnamese,Primary School or below,0,Friends/Extended Family/Neighbour,Chem Lab,0,VA room,7,Agree,,28/01/2022,48,Partly Dislike
24,Female,Islam,Thai,Master or above,5,Newspaper/ Magazine,Canteen,2,Hall,2,Disagree,Yes,28/01/2022,47,Strongly Like
31,Male,Hinduism,Vietnamese,Master or above,0,Newspaper/ Magazine,VA room,5,Hall,7,Strongly Disagree,No,29/01/2022,32,Strongly Dislike
33,Male,Confucianism,Indonesian,University,3,Friends/Extended Family/Neighbour,Basketball Court,10,Phy Lab,0,Agree,No,28/01/2022,38,Partly Like
28,Female,Islam,Mandarin,Secondary School/Associate Degree/Diploma,1,Newspaper/ Magazine,Canteen,10,Phy Lab,6,Agree,No,28/01/2022,11,Partly Dislike
38,Female,Buddhism,Vietnamese,Secondary School/Associate Degree/Diploma,5,Friends/Extended Family/Neighbour,Library,7,Phy Lab,7,Disagree,No,29/01/2022,22,Normal
31,Male,Protestantism,Vietnamese,Secondary School/Associate Degree/Diploma,1,Newspaper/ Magazine,Canteen,3,Library,1,Strongly Agree,Yes,29/01/2022,29,Strongly Like
23,Female,Islam,Indonesian,Primary School or below,5,School Website,VA room,2,VA room,10,Agree,Yes,29/01/2022,56,Strongly Like
35,Female,Taoism,Vietnamese,Secondary School/Associate Degree/Diploma,1,School Website,Library,9,Library,10,Strongly Disagree,No,29/01/2022,28,Strongly Like
18,Female,Chinese God,Thai,Secondary School/Associate Degree/Diploma,1,Newspaper/ Magazine,Chem Lab,6,Chem Lab,9,Neutral,No,29/01/2022,49,Normal
58,Female,Confucianism,Vietnamese,Secondary School/Associate Degree/Diploma,5,School Website,Basketball Court,0,Bio Lab,9,Strongly Agree,,28/01/2022,33,Partly Like
43,Female,Protestantism,Filipino,Master or above,1,Newspaper/ Magazine,Phy Lab,7,Phy Lab,1,Neutral,No,28/01/2022,50,Normal
25,Male,Protestantism,Thai,Master or above,1,Friends/Extended Family/Neighbour,VA room,0,Basketball Court,2,Strongly Disagree,No,28/01/2022,35,Normal
54,Female,Protestantism,Thai,Primary School or below,3,School Website,Library,2,Phy Lab,4,Strongly Agree,,29/01/2022,23,Strongly Like
48,Male,Catholicism,Mandarin,University,0,Newspaper/ Magazine,Library,8,VA room,2,Agree,,29/01/2022,29,Strongly Dislike
19,Male,Hinduism,Thai,Master or above,4,Friends/Extended Family/Neighbour,Hall,1,Library,9,Agree,No,28/01/2022,41,Partly Like
18,Male,Confucianism,Indonesian,Master or above,3,Friends/Extended Family/Neighbour,Phy Lab,7,Phy Lab,7,Neutral,,28/01/2022,52,Normal
59,Male,Chinese God,Cantonese,Master or above,5,Social Media,Phy Lab,2,Hall,4,Strongly Disagree,No,28/01/2022,15,Strongly Like
55,Male,Protestantism,Thai,Master or above,5,Friends/Extended Family/Neighbour,Library,10,Phy Lab,10,Neutral,,28/01/2022,41,Normal
49,Male,Sikhism,Indonesian,University,5,Social Media,Hall,4,Chem Lab,8,Disagree,No,28/01/2022,59,Normal
22,Female,Protestantism,Cantonese,Primary School or below,0,Friends/Extended Family/Neighbour,Hall,9,Chem Lab,1,Strongly Disagree,No,29/01/2022,25,Normal
46,Female,Sikhism,Thai,Primary School or below,2,Social Media,Hall,9,Hall,4,Strongly Agree,,29/01/2022,27,Strongly Like
37,Female,Protestantism,English,Secondary School/Associate Degree/Diploma,4,School Website,VA room,2,Library,4,Strongly Disagree,No,28/01/2022,12,Strongly Like
51,Male,Chinese God,Indonesian,University,5,Social Media,VA room,8,Canteen,6,Strongly Agree,No,28/01/2022,56,Partly Like
44,Female,Buddhism,Indonesian,Master or above,5,Social Media,VA room,8,Bio Lab,1,Strongly Disagree,,29/01/2022,23,Strongly Like
34,Female,Protestantism,Filipino,Primary School or below,0,Social Media,Library,9,Chem Lab,0,Agree,Yes,29/01/2022,41,Partly Like
20,Male,Buddhism,Filipino,University,4,School Website,Canteen,4,Hall,3,Disagree,Yes,29/01/2022,8,Strongly Dislike
32,Female,Protestantism,Filipino,Primary School or below,4,Friends/Extended Family/Neighbour,Chem Lab,6,Basketball Court,10,Neutral,,29/01/2022,35,Strongly Like
19,Female,Catholicism,English,University,5,School Website,Canteen,1,Hall,4,Disagree,Yes,28/01/2022,41,Strongly Dislike
35,Female,Taoism,Vietnamese,Master or above,3,Newspaper/ Magazine,Hall,2,Chem Lab,1,Agree,Yes,29/01/2022,28,Partly Like
34,Male,Islam,Filipino,Secondary School/Associate Degree/Diploma,3,Newspaper/ Magazine,Basketball Court,4,VA room,6,Neutral,No,29/01/2022,19,Normal
42,Female,Catholicism,Filipino,University,2,School Website,Phy Lab,5,Canteen,4,Disagree,Yes,29/01/2022,39,Strongly Dislike
31,Female,Confucianism,Cantonese,Primary School or below,5,School Website,Hall,3,VA room,10,Neutral,Yes,29/01/2022,50,Strongly Dislike
60,Agender,Buddhism,Thai,Master or above,2,School Website,Bio Lab,2,Hall,3,Agree,Yes,28/01/2022,32,Strongly Dislike
51,Male,Confucianism,Mandarin,University,1,Friends/Extended Family/Neighbour,Bio Lab,7,Canteen,8,Neutral,No,29/01/2022,30,Strongly Dislike
58,Bigender,Hinduism,Indonesian,Primary School or below,3,Friends/Extended Family/Neighbour,VA room,10,Phy Lab,10,Agree,No,29/01/2022,30,Strongly Dislike
54,Male,Hinduism,Mandarin,Master or above,4,Friends/Extended Family/Neighbour,VA room,7,Bio Lab,8,Strongly Disagree,Yes,28/01/2022,55,Strongly Like
46,Male,Chinese God,Indonesian,Master or above,1,Friends/Extended Family/Neighbour,Phy Lab,0,VA room,4,Strongly Agree,Yes,29/01/2022,36,Partly Like
38,Female,Sikhism,Mandarin,Primary School or below,5,Social Media,VA room,7,Bio Lab,2,Disagree,Yes,28/01/2022,24,Normal
36,Male,Catholicism,Vietnamese,University,5,Social Media,VA room,0,Chem Lab,3,Strongly Agree,No,29/01/2022,60,Normal
38,Female,Protestantism,Thai,Primary School or below,1,Newspaper/ Magazine,Hall,2,Canteen,8,Neutral,No,28/01/2022,59,Partly Like
24,Male,Taoism,Vietnamese,Master or above,5,Newspaper/ Magazine,Hall,4,Chem Lab,10,Neutral,No,28/01/2022,34,Normal
50,Male,Protestantism,Filipino,Master or above,0,Newspaper/ Magazine,Bio Lab,3,Hall,4,Agree,,28/01/2022,34,Strongly Dislike
33,Polygender,Buddhism,English,University,2,School Website,Phy Lab,1,Basketball Court,7,Agree,,29/01/2022,45,Normal
51,Female,Taoism,Vietnamese,Master or above,1,Social Media,Bio Lab,7,Hall,1,Strongly Agree,No,28/01/2022,54,Strongly Dislike
35,Male,Taoism,English,Master or above,2,School Website,VA room,4,Chem Lab,2,Strongly Disagree,Yes,29/01/2022,38,Partly Like
21,Female,Confucianism,English,University,2,Social Media,Hall,7,VA room,8,Disagree,Yes,29/01/2022,55,Normal
26,Male,Catholicism,Vietnamese,Master or above,5,Friends/Extended Family/Neighbour,Chem Lab,7,Canteen,1,Agree,No,28/01/2022,43,Partly Dislike
24,Female,Chinese God,Thai,University,3,School Website,VA room,2,Hall,7,Disagree,Yes,29/01/2022,23,Strongly Dislike
38,Female,Catholicism,Filipino,Secondary School/Associate Degree/Diploma,4,Social Media,Bio Lab,2,Phy Lab,1,Strongly Disagree,No,28/01/2022,9,Partly Like
32,Female,Catholicism,Filipino,Primary School or below,4,School Website,Library,8,VA room,3,Strongly Disagree,No,29/01/2022,26,Strongly Like
34,Genderqueer,Islam,Cantonese,University,4,School Website,Chem Lab,9,Basketball Court,10,Strongly Disagree,No,29/01/2022,12,Partly Like
20,Male,Protestantism,Indonesian,Secondary School/Associate Degree/Diploma,1,School Website,Hall,1,VA room,5,Agree,No,29/01/2022,30,Partly Like
60,Female,Confucianism,Filipino,Primary School or below,3,Newspaper/ Magazine,Bio Lab,8,Library,9,Neutral,Yes,28/01/2022,41,Partly Dislike
