age,gender,religion,spokenLanguage,education,numberOfChildren,channel,goodPlace,goodPlaceScore,badPlace,badPlaceScore,teacherFriendly,choose,createdTime,travelTime
51,Female,Taoism,Mandarin,University,4,Newspaper/ Magazine,Bio Lab,8,Phy Lab,5,Neutral,No,29/01/2021,29
59,Male,Confucianism,Filipino,Master or above,3,Newspaper/ Magazine,Canteen,4,VA room,4,Disagree,Yes,28/01/2021,43
33,Polygender,Sikhism,Filipino,University,3,Social Media,Basketball Court,0,VA room,9,Neutral,No,28/01/2021,17
35,Male,Taoism,Filipino,Secondary School/Associate Degree/Diploma,3,Newspaper/ Magazine,Phy Lab,2,Phy Lab,8,Strongly Agree,,29/01/2021,54
54,Male,Catholicism,Filipino,Secondary School/Associate Degree/Diploma,4,Social Media,Canteen,9,Bio Lab,4,Disagree,No,28/01/2021,29
51,Female,Catholicism,Mandarin,Primary School or below,1,School Website,Bio Lab,3,Bio Lab,0,Strongly Disagree,Yes,29/01/2021,39
50,Male,Islam,Mandarin,Master or above,2,Newspaper/ Magazine,Phy Lab,5,Bio Lab,2,Strongly Agree,No,28/01/2021,60
50,Male,Catholicism,Vietnamese,Secondary School/Associate Degree/Diploma,2,Social Media,Bio Lab,0,VA room,8,Disagree,,28/01/2021,16
47,Female,Hinduism,Filipino,Primary School or below,1,Social Media,Chem Lab,0,Bio Lab,8,Strongly Disagree,Yes,28/01/2021,18
57,Male,Hinduism,Mandarin,Secondary School/Associate Degree/Diploma,1,Newspaper/ Magazine,Basketball Court,0,Canteen,2,Agree,No,29/01/2021,45
47,Male,Catholicism,English,University,1,Social Media,Phy Lab,9,Bio Lab,3,Strongly Agree,Yes,28/01/2021,53
52,Agender,Islam,Cantonese,Secondary School/Associate Degree/Diploma,0,Newspaper/ Magazine,Basketball Court,10,Phy Lab,5,Agree,No,29/01/2021,50
48,Male,Catholicism,Cantonese,Primary School or below,5,Social Media,Chem Lab,10,Bio Lab,7,Neutral,,29/01/2021,53
58,Male,Sikhism,Vietnamese,Master or above,2,Friends/Extended Family/Neighbour,Chem Lab,10,Phy Lab,3,Neutral,No,28/01/2021,58
40,Female,Confucianism,Cantonese,Secondary School/Associate Degree/Diploma,3,Newspaper/ Magazine,Basketball Court,2,Library,4,Neutral,,28/01/2021,23
29,Agender,Protestantism,Cantonese,Master or above,3,School Website,Canteen,0,Basketball Court,3,Disagree,No,28/01/2021,40
22,Male,Buddhism,Thai,Primary School or below,5,Social Media,Phy Lab,7,Hall,2,Neutral,No,29/01/2021,45
42,Male,Buddhism,Thai,Master or above,4,Social Media,Basketball Court,1,Phy Lab,6,Strongly Agree,Yes,28/01/2021,41
54,Male,Confucianism,Mandarin,Master or above,3,School Website,Hall,6,Hall,7,Strongly Disagree,Yes,29/01/2021,51
48,Male,Taoism,Indonesian,Primary School or below,2,Friends/Extended Family/Neighbour,VA room,5,VA room,1,Disagree,No,29/01/2021,55
59,Female,Sikhism,English,Master or above,0,Social Media,Bio Lab,7,Canteen,3,Strongly Agree,No,29/01/2021,5
51,Male,Chinese God,Mandarin,Secondary School/Associate Degree/Diploma,4,Friends/Extended Family/Neighbour,VA room,6,Chem Lab,1,Strongly Agree,,29/01/2021,56
38,Male,Islam,Thai,Secondary School/Associate Degree/Diploma,2,Newspaper/ Magazine,Library,2,Chem Lab,7,Strongly Agree,Yes,28/01/2021,49
46,Agender,Hinduism,Thai,University,3,School Website,VA room,2,Library,6,Strongly Agree,No,29/01/2021,33
56,Female,Islam,Filipino,Primary School or below,4,Social Media,Basketball Court,3,Canteen,2,Agree,No,28/01/2021,60
54,Female,Buddhism,English,Secondary School/Associate Degree/Diploma,5,Friends/Extended Family/Neighbour,VA room,10,Phy Lab,1,Neutral,No,29/01/2021,20
47,Female,Sikhism,Cantonese,Secondary School/Associate Degree/Diploma,1,School Website,Phy Lab,2,Bio Lab,10,Strongly Disagree,Yes,29/01/2021,33
30,Male,Chinese God,Vietnamese,Secondary School/Associate Degree/Diploma,3,Friends/Extended Family/Neighbour,Chem Lab,10,Phy Lab,7,Strongly Agree,No,29/01/2021,18
40,Male,Taoism,Cantonese,Secondary School/Associate Degree/Diploma,0,Social Media,Library,0,Library,4,Agree,No,28/01/2021,40
41,Female,Sikhism,English,Primary School or below,1,Social Media,Hall,1,VA room,3,Agree,Yes,28/01/2021,23
31,Female,Hinduism,Cantonese,University,2,Friends/Extended Family/Neighbour,Bio Lab,3,Bio Lab,9,Strongly Agree,Yes,29/01/2021,44
49,Male,Sikhism,Cantonese,University,2,Newspaper/ Magazine,Bio Lab,10,Canteen,7,Agree,No,29/01/2021,44
55,Female,Buddhism,Vietnamese,University,3,School Website,Bio Lab,0,VA room,10,Agree,Yes,29/01/2021,18
19,Female,Buddhism,English,University,1,Social Media,Canteen,6,Bio Lab,6,Agree,,29/01/2021,53
26,Genderfluid,Chinese God,English,University,4,School Website,Basketball Court,2,Canteen,10,Neutral,No,28/01/2021,33
24,Female,Confucianism,Cantonese,Secondary School/Associate Degree/Diploma,2,Newspaper/ Magazine,Hall,6,Chem Lab,8,Agree,Yes,28/01/2021,12
20,Male,Catholicism,Filipino,Secondary School/Associate Degree/Diploma,2,School Website,Library,2,Basketball Court,8,Neutral,Yes,29/01/2021,39
25,Genderfluid,Taoism,Thai,Master or above,5,School Website,Chem Lab,10,Chem Lab,8,Strongly Agree,,28/01/2021,45
32,Male,Buddhism,Cantonese,Master or above,4,Social Media,Basketball Court,4,Bio Lab,1,Neutral,No,28/01/2021,54
24,Male,Protestantism,Mandarin,Primary School or below,4,Social Media,Basketball Court,0,Bio Lab,2,Neutral,Yes,29/01/2021,59
21,Male,Buddhism,Mandarin,Secondary School/Associate Degree/Diploma,5,Social Media,Hall,8,Phy Lab,4,Neutral,No,28/01/2021,51
42,Female,Catholicism,Indonesian,Master or above,0,Friends/Extended Family/Neighbour,Chem Lab,6,Library,10,Strongly Disagree,,28/01/2021,26
41,Male,Islam,Vietnamese,Secondary School/Associate Degree/Diploma,1,School Website,Hall,8,Chem Lab,6,Strongly Agree,No,28/01/2021,48
43,Female,Confucianism,Filipino,Master or above,1,Social Media,Bio Lab,9,Basketball Court,1,Neutral,No,28/01/2021,7
53,Female,Catholicism,Mandarin,Secondary School/Associate Degree/Diploma,2,School Website,Basketball Court,6,Library,9,Neutral,,29/01/2021,28
21,Male,Confucianism,Thai,Primary School or below,5,Newspaper/ Magazine,Phy Lab,0,Chem Lab,8,Agree,No,28/01/2021,19
42,Male,Sikhism,Mandarin,University,1,School Website,Phy Lab,5,Hall,2,Disagree,No,29/01/2021,41
31,Male,Protestantism,English,Secondary School/Associate Degree/Diploma,4,Social Media,Basketball Court,4,VA room,4,Strongly Disagree,No,28/01/2021,25
28,Non-binary,Islam,Indonesian,Master or above,2,Friends/Extended Family/Neighbour,Basketball Court,3,VA room,3,Disagree,No,28/01/2021,28
27,Polygender,Confucianism,Filipino,University,3,Friends/Extended Family/Neighbour,Hall,9,Phy Lab,5,Disagree,No,28/01/2021,52
51,Polygender,Islam,Mandarin,Primary School or below,5,Newspaper/ Magazine,Bio Lab,1,Basketball Court,5,Strongly Agree,Yes,28/01/2021,46
57,Male,Buddhism,Thai,Master or above,5,Friends/Extended Family/Neighbour,Hall,5,Basketball Court,7,Neutral,No,29/01/2021,34
41,Male,Sikhism,English,Master or above,1,Social Media,VA room,6,Basketball Court,6,Agree,No,29/01/2021,39
29,Bigender,Chinese God,Cantonese,Primary School or below,4,Friends/Extended Family/Neighbour,Chem Lab,8,VA room,3,Disagree,Yes,29/01/2021,53
27,Female,Sikhism,Cantonese,Secondary School/Associate Degree/Diploma,2,School Website,Phy Lab,3,VA room,4,Neutral,,28/01/2021,45
34,Female,Confucianism,Thai,Secondary School/Associate Degree/Diploma,2,Friends/Extended Family/Neighbour,Phy Lab,6,Basketball Court,6,Disagree,Yes,29/01/2021,58
56,Non-binary,Chinese God,Indonesian,Master or above,2,Social Media,Phy Lab,6,Basketball Court,0,Neutral,No,29/01/2021,54
59,Female,Sikhism,Thai,Primary School or below,5,Social Media,Basketball Court,3,Chem Lab,7,Neutral,Yes,29/01/2021,53
47,Female,Sikhism,Indonesian,Master or above,4,Friends/Extended Family/Neighbour,Bio Lab,9,Phy Lab,5,Neutral,No,28/01/2021,19
23,Male,Catholicism,Filipino,Primary School or below,3,Newspaper/ Magazine,Library,2,Bio Lab,1,Disagree,No,28/01/2021,26
46,Male,Islam,Thai,Secondary School/Associate Degree/Diploma,2,School Website,VA room,4,Canteen,5,Strongly Disagree,Yes,28/01/2021,48
53,Male,Protestantism,Thai,Primary School or below,2,Newspaper/ Magazine,Canteen,9,Bio Lab,10,Agree,Yes,29/01/2021,5
33,Male,Confucianism,Vietnamese,Secondary School/Associate Degree/Diploma,1,Newspaper/ Magazine,Basketball Court,1,Phy Lab,7,Strongly Disagree,Yes,29/01/2021,17
47,Non-binary,Taoism,Indonesian,University,3,Social Media,Library,6,Phy Lab,1,Neutral,Yes,29/01/2021,26
46,Female,Taoism,Cantonese,University,4,Newspaper/ Magazine,Chem Lab,2,Chem Lab,9,Strongly Agree,Yes,28/01/2021,49
58,Male,Buddhism,Thai,Primary School or below,5,Newspaper/ Magazine,Library,6,Basketball Court,6,Agree,No,29/01/2021,20
50,Agender,Chinese God,Filipino,Primary School or below,4,Social Media,Basketball Court,5,VA room,8,Disagree,Yes,29/01/2021,50
42,Female,Catholicism,English,University,0,Social Media,Bio Lab,4,Phy Lab,0,Strongly Disagree,Yes,28/01/2021,31
19,Male,Islam,Mandarin,Primary School or below,4,Friends/Extended Family/Neighbour,Library,9,Hall,8,Agree,No,29/01/2021,41
50,Female,Confucianism,Mandarin,University,0,School Website,Canteen,1,Bio Lab,6,Neutral,No,28/01/2021,21
34,Agender,Protestantism,Thai,Primary School or below,2,Newspaper/ Magazine,Bio Lab,0,Chem Lab,9,Neutral,No,28/01/2021,35
19,Female,Sikhism,Indonesian,University,5,School Website,Hall,5,Bio Lab,3,Strongly Agree,No,29/01/2021,15
43,Bigender,Hinduism,Cantonese,University,2,Social Media,Hall,1,Basketball Court,9,Agree,No,28/01/2021,39
43,Female,Sikhism,Cantonese,Primary School or below,0,Social Media,Bio Lab,5,Chem Lab,9,Neutral,No,28/01/2021,36
43,Male,Chinese God,Indonesian,Secondary School/Associate Degree/Diploma,1,Newspaper/ Magazine,Canteen,9,Phy Lab,3,Agree,Yes,29/01/2021,7
24,Male,Buddhism,English,Secondary School/Associate Degree/Diploma,4,School Website,Bio Lab,1,Chem Lab,7,Agree,,28/01/2021,60
49,Male,Confucianism,English,Master or above,4,School Website,Bio Lab,1,Bio Lab,3,Agree,No,29/01/2021,6
47,Female,Chinese God,Indonesian,Primary School or below,2,Newspaper/ Magazine,VA room,2,Bio Lab,1,Neutral,Yes,28/01/2021,31
43,Male,Buddhism,English,Primary School or below,2,Friends/Extended Family/Neighbour,Hall,7,VA room,0,Strongly Disagree,No,28/01/2021,54
32,Male,Chinese God,English,Secondary School/Associate Degree/Diploma,0,School Website,Library,1,Hall,2,Disagree,Yes,29/01/2021,39
31,Male,Taoism,Filipino,Secondary School/Associate Degree/Diploma,5,Social Media,Phy Lab,3,Basketball Court,0,Agree,No,29/01/2021,53
57,Male,Taoism,Cantonese,Primary School or below,4,Social Media,Basketball Court,0,Hall,4,Strongly Agree,Yes,29/01/2021,52
24,Female,Confucianism,Filipino,University,5,Newspaper/ Magazine,Bio Lab,6,Bio Lab,6,Agree,Yes,29/01/2021,39
44,Female,Buddhism,Thai,Secondary School/Associate Degree/Diploma,4,School Website,Phy Lab,6,VA room,6,Agree,Yes,29/01/2021,59
40,Female,Protestantism,English,University,5,Social Media,Canteen,9,Library,10,Disagree,Yes,28/01/2021,58
34,Female,Taoism,Thai,Master or above,4,Friends/Extended Family/Neighbour,Chem Lab,8,Basketball Court,0,Strongly Agree,,28/01/2021,19
41,Female,Islam,Mandarin,Secondary School/Associate Degree/Diploma,5,Friends/Extended Family/Neighbour,Hall,8,Canteen,4,Disagree,Yes,28/01/2021,6
20,Bigender,Islam,English,University,4,Newspaper/ Magazine,Hall,1,Phy Lab,3,Agree,,28/01/2021,13
37,Female,Protestantism,Cantonese,University,1,Friends/Extended Family/Neighbour,Bio Lab,5,Chem Lab,1,Disagree,Yes,28/01/2021,13
44,Male,Islam,Filipino,Secondary School/Associate Degree/Diploma,0,Newspaper/ Magazine,Basketball Court,7,Phy Lab,6,Disagree,,28/01/2021,31
40,Male,Sikhism,Vietnamese,Primary School or below,1,School Website,Chem Lab,7,Bio Lab,6,Agree,No,28/01/2021,27
37,Female,Islam,English,Master or above,4,Newspaper/ Magazine,Chem Lab,7,Library,2,Disagree,Yes,29/01/2021,22
49,Female,Chinese God,Filipino,Primary School or below,2,Newspaper/ Magazine,VA room,4,Canteen,3,Strongly Agree,,28/01/2021,43
20,Female,Buddhism,Filipino,University,1,Friends/Extended Family/Neighbour,Basketball Court,0,Phy Lab,4,Neutral,,29/01/2021,52
43,Female,Catholicism,Cantonese,Master or above,4,Social Media,Canteen,2,Chem Lab,2,Strongly Agree,Yes,29/01/2021,33
39,Male,Chinese God,Filipino,Primary School or below,0,Friends/Extended Family/Neighbour,Canteen,6,Hall,9,Strongly Disagree,Yes,28/01/2021,56
42,Female,Islam,Vietnamese,Primary School or below,1,Friends/Extended Family/Neighbour,Canteen,8,Bio Lab,7,Agree,No,28/01/2021,36
56,Female,Islam,Indonesian,University,4,School Website,VA room,7,Library,3,Strongly Agree,Yes,29/01/2021,15
48,Female,Hinduism,Mandarin,Secondary School/Associate Degree/Diploma,2,Social Media,Basketball Court,2,Canteen,0,Strongly Disagree,No,29/01/2021,48
32,Male,Catholicism,English,Primary School or below,1,Social Media,Phy Lab,2,Phy Lab,8,Disagree,No,29/01/2021,49
51,Genderqueer,Taoism,Vietnamese,Master or above,5,Newspaper/ Magazine,Phy Lab,0,VA room,7,Agree,No,28/01/2021,15
24,Male,Catholicism,Indonesian,Primary School or below,5,Social Media,Bio Lab,8,Canteen,4,Neutral,,29/01/2021,39
41,Male,Confucianism,Cantonese,Primary School or below,1,Newspaper/ Magazine,Basketball Court,4,Chem Lab,1,Strongly Agree,Yes,29/01/2021,34
34,Male,Sikhism,English,Secondary School/Associate Degree/Diploma,5,Friends/Extended Family/Neighbour,Bio Lab,5,Basketball Court,0,Strongly Agree,Yes,29/01/2021,28
45,Female,Protestantism,Mandarin,Master or above,5,Friends/Extended Family/Neighbour,Canteen,6,Phy Lab,7,Disagree,No,28/01/2021,55
47,Female,Chinese God,Thai,Primary School or below,3,Friends/Extended Family/Neighbour,Canteen,6,Chem Lab,2,Disagree,,29/01/2021,8
47,Female,Buddhism,English,Secondary School/Associate Degree/Diploma,5,School Website,Library,6,Hall,1,Strongly Disagree,No,29/01/2021,31
27,Polygender,Hinduism,Cantonese,Primary School or below,0,Friends/Extended Family/Neighbour,Phy Lab,6,Canteen,8,Agree,,28/01/2021,13
43,Bigender,Islam,Thai,University,5,Newspaper/ Magazine,Hall,6,Bio Lab,3,Neutral,No,29/01/2021,40
45,Male,Islam,Cantonese,Master or above,1,Social Media,Chem Lab,5,Chem Lab,7,Strongly Disagree,Yes,28/01/2021,54
30,Male,Buddhism,Cantonese,University,5,Friends/Extended Family/Neighbour,Bio Lab,10,Chem Lab,7,Strongly Agree,No,29/01/2021,35
38,Male,Protestantism,Cantonese,Secondary School/Associate Degree/Diploma,3,Newspaper/ Magazine,Hall,6,Library,10,Agree,Yes,29/01/2021,18
57,Male,Islam,Thai,Master or above,3,School Website,Bio Lab,10,Chem Lab,8,Agree,Yes,29/01/2021,20
38,Female,Islam,Thai,Primary School or below,3,School Website,Hall,9,Hall,5,Agree,No,28/01/2021,17
51,Male,Catholicism,Thai,University,5,Social Media,VA room,5,Bio Lab,8,Agree,Yes,29/01/2021,50
18,Male,Taoism,Thai,University,2,Newspaper/ Magazine,Canteen,10,VA room,7,Strongly Disagree,Yes,29/01/2021,32
49,Male,Chinese God,Thai,University,5,School Website,Chem Lab,8,Chem Lab,4,Agree,Yes,29/01/2021,12
19,Female,Chinese God,English,Secondary School/Associate Degree/Diploma,5,Newspaper/ Magazine,Phy Lab,9,Hall,10,Strongly Disagree,Yes,28/01/2021,10
49,Male,Islam,Vietnamese,Secondary School/Associate Degree/Diploma,3,Social Media,Library,8,Canteen,9,Neutral,,29/01/2021,36
52,Male,Sikhism,Mandarin,Master or above,0,Newspaper/ Magazine,VA room,3,Basketball Court,6,Neutral,No,28/01/2021,48
31,Female,Islam,Indonesian,Master or above,0,School Website,Chem Lab,7,Canteen,2,Disagree,No,28/01/2021,14
31,Female,Hinduism,Indonesian,Master or above,2,Friends/Extended Family/Neighbour,Bio Lab,4,Library,5,Disagree,No,28/01/2021,10
31,Male,Buddhism,Vietnamese,Secondary School/Associate Degree/Diploma,1,Newspaper/ Magazine,Canteen,3,Phy Lab,6,Agree,,28/01/2021,31
45,Female,Protestantism,Filipino,Master or above,5,Newspaper/ Magazine,Chem Lab,6,Basketball Court,4,Strongly Disagree,,29/01/2021,33
39,Female,Taoism,Thai,Master or above,2,Friends/Extended Family/Neighbour,Chem Lab,3,Chem Lab,9,Disagree,,28/01/2021,59
44,Agender,Protestantism,English,Primary School or below,0,Newspaper/ Magazine,Chem Lab,2,Library,2,Strongly Disagree,,28/01/2021,15
24,Agender,Hinduism,Thai,Master or above,0,Friends/Extended Family/Neighbour,Bio Lab,7,Library,6,Disagree,,29/01/2021,5
52,Female,Confucianism,English,University,5,Friends/Extended Family/Neighbour,Library,6,Chem Lab,8,Strongly Disagree,Yes,28/01/2021,33
30,Female,Confucianism,Mandarin,Primary School or below,3,Friends/Extended Family/Neighbour,Basketball Court,10,Chem Lab,3,Agree,Yes,29/01/2021,14
33,Female,Confucianism,Thai,Secondary School/Associate Degree/Diploma,3,School Website,Chem Lab,5,Library,3,Agree,No,28/01/2021,9
58,Female,Islam,Mandarin,Secondary School/Associate Degree/Diploma,1,Newspaper/ Magazine,Bio Lab,6,Canteen,0,Neutral,No,29/01/2021,36
24,Female,Hinduism,Mandarin,University,4,School Website,Bio Lab,3,Basketball Court,5,Agree,Yes,28/01/2021,22
60,Female,Chinese God,Indonesian,Master or above,4,Friends/Extended Family/Neighbour,Chem Lab,0,VA room,9,Disagree,No,29/01/2021,37
52,Male,Protestantism,Vietnamese,University,2,Friends/Extended Family/Neighbour,Phy Lab,4,Bio Lab,3,Agree,No,29/01/2021,10
28,Male,Chinese God,Indonesian,Master or above,3,School Website,Canteen,7,Library,5,Agree,Yes,29/01/2021,39
20,Male,Hinduism,Mandarin,Primary School or below,4,Social Media,Chem Lab,3,Canteen,3,Neutral,No,29/01/2021,24
43,Female,Hinduism,Vietnamese,Master or above,5,Social Media,Library,4,Bio Lab,4,Disagree,No,28/01/2021,53
57,Agender,Buddhism,Cantonese,Master or above,1,Newspaper/ Magazine,Bio Lab,1,VA room,0,Strongly Agree,No,28/01/2021,50
41,Female,Sikhism,Thai,Secondary School/Associate Degree/Diploma,1,Social Media,Hall,9,Canteen,9,Disagree,No,28/01/2021,27
60,Bigender,Buddhism,Mandarin,Primary School or below,3,Newspaper/ Magazine,VA room,8,Chem Lab,6,Strongly Disagree,No,28/01/2021,57
46,Male,Confucianism,Filipino,University,5,Friends/Extended Family/Neighbour,Bio Lab,8,Basketball Court,1,Strongly Disagree,No,28/01/2021,51
58,Female,Buddhism,Indonesian,Master or above,1,School Website,Bio Lab,8,Phy Lab,9,Strongly Agree,No,29/01/2021,57
53,Female,Hinduism,Cantonese,University,2,Social Media,VA room,7,Library,7,Strongly Agree,No,28/01/2021,57
39,Male,Hinduism,Thai,Primary School or below,5,School Website,Chem Lab,3,Basketball Court,10,Agree,No,28/01/2021,38
50,Female,Confucianism,Indonesian,Secondary School/Associate Degree/Diploma,2,School Website,Phy Lab,7,Basketball Court,4,Strongly Disagree,Yes,29/01/2021,16
38,Female,Chinese God,English,Primary School or below,1,School Website,Chem Lab,3,Phy Lab,3,Disagree,No,28/01/2021,37
26,Female,Chinese God,Cantonese,University,4,Newspaper/ Magazine,Phy Lab,1,Basketball Court,2,Strongly Disagree,No,28/01/2021,21
46,Female,Confucianism,Vietnamese,Primary School or below,0,Social Media,Library,8,Library,9,Disagree,No,28/01/2021,12
31,Male,Confucianism,Indonesian,Primary School or below,3,Newspaper/ Magazine,Library,4,Phy Lab,7,Strongly Agree,Yes,29/01/2021,53
26,Male,Taoism,Thai,Primary School or below,2,Newspaper/ Magazine,Hall,6,Library,9,Disagree,Yes,28/01/2021,32
33,Female,Catholicism,Filipino,Secondary School/Associate Degree/Diploma,5,Friends/Extended Family/Neighbour,Bio Lab,9,Bio Lab,5,Strongly Disagree,Yes,28/01/2021,58
54,Agender,Islam,Vietnamese,Primary School or below,5,Friends/Extended Family/Neighbour,Phy Lab,9,Canteen,2,Disagree,,28/01/2021,58
43,Female,Sikhism,Filipino,University,1,School Website,Chem Lab,4,Bio Lab,2,Neutral,No,29/01/2021,53
19,Female,Chinese God,Cantonese,Primary School or below,2,Newspaper/ Magazine,Canteen,5,Phy Lab,5,Disagree,,28/01/2021,51
31,Female,Chinese God,Cantonese,Primary School or below,1,Social Media,Basketball Court,2,Canteen,7,Strongly Agree,No,28/01/2021,37
45,Female,Islam,Thai,Master or above,1,Social Media,Bio Lab,2,Library,6,Neutral,Yes,28/01/2021,60
25,Female,Protestantism,Thai,Secondary School/Associate Degree/Diploma,3,Friends/Extended Family/Neighbour,Canteen,10,VA room,1,Agree,No,29/01/2021,25
21,Male,Islam,Mandarin,Primary School or below,5,Newspaper/ Magazine,Bio Lab,5,VA room,1,Agree,Yes,29/01/2021,24
59,Male,Confucianism,Cantonese,Secondary School/Associate Degree/Diploma,2,Newspaper/ Magazine,Chem Lab,5,VA room,10,Agree,Yes,29/01/2021,36
43,Female,Sikhism,Mandarin,Secondary School/Associate Degree/Diploma,4,Friends/Extended Family/Neighbour,VA room,6,Canteen,10,Strongly Agree,No,29/01/2021,11
18,Female,Buddhism,Thai,Primary School or below,5,School Website,Chem Lab,0,Library,8,Strongly Agree,No,28/01/2021,50
36,Female,Catholicism,Vietnamese,Master or above,0,Friends/Extended Family/Neighbour,Library,4,Library,7,Strongly Disagree,Yes,29/01/2021,14
51,Genderqueer,Confucianism,English,Primary School or below,2,Newspaper/ Magazine,Basketball Court,7,Canteen,0,Agree,Yes,29/01/2021,37
55,Male,Confucianism,Indonesian,University,4,Friends/Extended Family/Neighbour,Phy Lab,10,Chem Lab,1,Strongly Agree,Yes,29/01/2021,59
37,Male,Chinese God,Vietnamese,Primary School or below,4,Friends/Extended Family/Neighbour,Bio Lab,10,Canteen,10,Strongly Agree,No,29/01/2021,45
57,Male,Confucianism,Filipino,Secondary School/Associate Degree/Diploma,0,Newspaper/ Magazine,Bio Lab,0,Basketball Court,8,Agree,,29/01/2021,47
32,Male,Sikhism,English,Secondary School/Associate Degree/Diploma,3,Friends/Extended Family/Neighbour,Library,0,VA room,6,Strongly Agree,,29/01/2021,16
46,Male,Chinese God,English,Primary School or below,3,Newspaper/ Magazine,Chem Lab,8,Hall,2,Neutral,No,28/01/2021,44
46,Male,Chinese God,Indonesian,Primary School or below,5,School Website,Bio Lab,6,Chem Lab,5,Strongly Disagree,Yes,28/01/2021,17
31,Male,Taoism,English,Master or above,1,Newspaper/ Magazine,Basketball Court,0,VA room,4,Neutral,Yes,29/01/2021,50
50,Male,Confucianism,Cantonese,University,0,Social Media,Canteen,6,VA room,4,Agree,Yes,28/01/2021,12
30,Agender,Islam,Vietnamese,Master or above,0,Social Media,Hall,5,Phy Lab,0,Strongly Agree,Yes,29/01/2021,36
37,Male,Taoism,Cantonese,University,2,School Website,Phy Lab,2,Hall,3,Strongly Agree,No,29/01/2021,19
42,Male,Hinduism,Thai,University,5,Social Media,Hall,2,Canteen,9,Disagree,Yes,28/01/2021,32
32,Female,Confucianism,Cantonese,Primary School or below,5,Social Media,Phy Lab,10,Hall,6,Strongly Agree,No,29/01/2021,21
25,Female,Confucianism,Cantonese,University,0,Friends/Extended Family/Neighbour,Basketball Court,6,VA room,10,Neutral,No,28/01/2021,57
31,Bigender,Chinese God,Cantonese,Secondary School/Associate Degree/Diploma,0,Friends/Extended Family/Neighbour,Canteen,1,Phy Lab,10,Neutral,Yes,28/01/2021,16
23,Male,Islam,English,Primary School or below,2,Social Media,Canteen,7,Library,7,Strongly Disagree,Yes,29/01/2021,32
57,Non-binary,Islam,Thai,Master or above,0,Social Media,Canteen,3,Phy Lab,3,Neutral,No,28/01/2021,52
27,Bigender,Buddhism,Indonesian,University,3,Social Media,Basketball Court,6,Phy Lab,2,Disagree,No,29/01/2021,17
59,Female,Chinese God,Cantonese,University,5,Social Media,Canteen,6,Library,7,Neutral,Yes,28/01/2021,25
47,Male,Chinese God,Filipino,Primary School or below,0,School Website,Bio Lab,0,Library,2,Agree,,28/01/2021,10
23,Female,Taoism,Mandarin,Master or above,1,Newspaper/ Magazine,VA room,2,VA room,3,Agree,Yes,28/01/2021,36
48,Male,Hinduism,Vietnamese,Primary School or below,4,School Website,Bio Lab,0,Phy Lab,10,Disagree,Yes,29/01/2021,24
33,Female,Islam,English,Primary School or below,4,Social Media,Hall,0,Chem Lab,4,Disagree,No,28/01/2021,54
23,Male,Protestantism,Filipino,Primary School or below,5,Friends/Extended Family/Neighbour,Canteen,5,Phy Lab,4,Neutral,Yes,29/01/2021,27
41,Female,Islam,Indonesian,Master or above,0,Newspaper/ Magazine,Basketball Court,1,Hall,8,Strongly Disagree,Yes,28/01/2021,13
43,Male,Buddhism,Cantonese,Secondary School/Associate Degree/Diploma,2,School Website,Chem Lab,10,Basketball Court,2,Disagree,Yes,29/01/2021,19
55,Female,Sikhism,Vietnamese,University,4,Friends/Extended Family/Neighbour,Library,7,Canteen,2,Strongly Agree,Yes,29/01/2021,28
44,Male,Chinese God,Mandarin,Secondary School/Associate Degree/Diploma,0,Newspaper/ Magazine,Chem Lab,9,Canteen,5,Disagree,Yes,29/01/2021,18
21,Male,Sikhism,Cantonese,Primary School or below,2,School Website,Chem Lab,2,Bio Lab,6,Agree,No,29/01/2021,28
30,Female,Catholicism,English,Secondary School/Associate Degree/Diploma,5,Friends/Extended Family/Neighbour,VA room,5,Chem Lab,0,Agree,No,28/01/2021,33
55,Female,Hinduism,Mandarin,Primary School or below,5,Social Media,Phy Lab,10,Library,3,Strongly Agree,Yes,29/01/2021,15
32,Female,Buddhism,Filipino,Master or above,1,Social Media,Phy Lab,0,Library,3,Strongly Disagree,No,29/01/2021,38
27,Female,Hinduism,Filipino,Primary School or below,5,Friends/Extended Family/Neighbour,VA room,4,VA room,6,Strongly Disagree,No,29/01/2021,30
57,Female,Sikhism,Filipino,University,5,School Website,Basketball Court,7,VA room,5,Strongly Agree,Yes,29/01/2021,16
24,Female,Confucianism,Cantonese,Primary School or below,2,Friends/Extended Family/Neighbour,Phy Lab,6,Bio Lab,3,Strongly Agree,Yes,29/01/2021,35
34,Female,Buddhism,English,Master or above,5,School Website,Chem Lab,2,VA room,7,Disagree,Yes,29/01/2021,14
34,Bigender,Sikhism,Indonesian,Primary School or below,5,School Website,Chem Lab,8,Library,4,Agree,Yes,28/01/2021,24
43,Female,Sikhism,Vietnamese,University,5,Social Media,Library,4,Library,2,Strongly Agree,,28/01/2021,46
60,Male,Catholicism,Mandarin,Secondary School/Associate Degree/Diploma,1,Social Media,Library,6,Bio Lab,9,Disagree,Yes,28/01/2021,56
33,Female,Islam,Vietnamese,Secondary School/Associate Degree/Diploma,2,Social Media,Bio Lab,9,Phy Lab,2,Neutral,No,29/01/2021,23
54,Male,Sikhism,Filipino,Secondary School/Associate Degree/Diploma,0,School Website,Basketball Court,7,Chem Lab,4,Strongly Agree,Yes,28/01/2021,6
