age,gender,religion,spokenLanguage,education,numberOfChildren,channel,goodPlace,goodPlaceScore,badPlace,badPlaceScore,teacherFriendly,choose,createdTime
54,Male,Sikhism,English,University,5,School Website,Canteen,6,Basketball Court,9,Disagree,,28/01/2023
40,Male,Sikhism,English,Primary School or below,1,Social Media,Phy Lab,10,Basketball Court,5,Strongly Agree,No,29/01/2023
51,Female,Islam,Filipino,Secondary School/Associate Degree/Diploma,4,Newspaper/ Magazine,Basketball Court,5,Basketball Court,8,Strongly Agree,No,28/01/2023
41,Male,Hinduism,Mandarin,University,2,Social Media,Hall,2,Phy Lab,8,Disagree,Yes,29/01/2023
47,Male,Catholicism,Cantonese,Primary School or below,5,Friends/Extended Family/Neighbour,Canteen,1,Chem Lab,0,Neutral,Yes,29/01/2023
55,Male,Protestantism,Filipino,Secondary School/Associate Degree/Diploma,1,Newspaper/ Magazine,Phy Lab,7,Library,4,Strongly Disagree,Yes,28/01/2023
49,Male,Hinduism,English,Primary School or below,2,Friends/Extended Family/Neighbour,Canteen,2,Chem Lab,3,Strongly Agree,Yes,28/01/2023
58,Female,Taoism,English,Master or above,0,School Website,Bio Lab,0,Library,1,Agree,Yes,29/01/2023
38,Male,Hinduism,Vietnamese,Master or above,4,School Website,Basketball Court,8,Chem Lab,3,Neutral,Yes,29/01/2023
57,Female,Taoism,Vietnamese,Master or above,2,Social Media,Library,8,Chem Lab,5,Agree,,29/01/2023
59,Male,Sikhism,Cantonese,University,4,School Website,Hall,7,Phy Lab,1,Strongly Disagree,Yes,28/01/2023
39,Female,Islam,Filipino,Secondary School/Associate Degree/Diploma,3,Social Media,Chem Lab,7,VA room,4,Neutral,,29/01/2023
24,Female,Sikhism,Vietnamese,University,1,Social Media,Canteen,5,Phy Lab,0,Disagree,Yes,28/01/2023
38,Female,Taoism,Indonesian,Primary School or below,1,Newspaper/ Magazine,Hall,3,Hall,9,Neutral,Yes,29/01/2023
39,Male,Taoism,Cantonese,Primary School or below,2,Social Media,Bio Lab,1,Library,0,Agree,No,28/01/2023
24,Male,Chinese God,Filipino,Primary School or below,2,School Website,Chem Lab,10,Phy Lab,2,Strongly Agree,No,28/01/2023
22,Male,Protestantism,English,University,5,Friends/Extended Family/Neighbour,Chem Lab,1,Hall,2,Neutral,No,28/01/2023
48,Female,Catholicism,Cantonese,Master or above,4,Social Media,Phy Lab,3,VA room,5,Disagree,Yes,28/01/2023
37,Female,Chinese God,Cantonese,Secondary School/Associate Degree/Diploma,5,Newspaper/ Magazine,Canteen,1,Canteen,5,Strongly Agree,Yes,29/01/2023
48,Male,Islam,Mandarin,Primary School or below,2,Friends/Extended Family/Neighbour,Chem Lab,7,Bio Lab,3,Strongly Agree,No,29/01/2023
54,Female,Sikhism,Vietnamese,Secondary School/Associate Degree/Diploma,4,Newspaper/ Magazine,VA room,8,Canteen,0,Agree,No,28/01/2023
36,Female,Islam,Thai,Secondary School/Associate Degree/Diploma,0,Social Media,Library,10,VA room,5,Agree,No,29/01/2023
39,Male,Chinese God,Vietnamese,Master or above,5,Social Media,Bio Lab,0,Library,1,Strongly Disagree,No,29/01/2023
48,Female,Chinese God,English,University,4,Social Media,Canteen,5,Phy Lab,7,Neutral,Yes,28/01/2023
37,Female,Islam,English,Secondary School/Associate Degree/Diploma,4,School Website,Library,10,Phy Lab,7,Agree,Yes,28/01/2023
24,Female,Chinese God,Vietnamese,Secondary School/Associate Degree/Diploma,1,School Website,Hall,9,Hall,7,Strongly Agree,No,28/01/2023
39,Male,Confucianism,Indonesian,Primary School or below,4,Social Media,Library,10,Bio Lab,6,Neutral,No,29/01/2023
24,Male,Chinese God,Vietnamese,University,4,Social Media,Canteen,6,Library,6,Agree,Yes,28/01/2023
53,Male,Confucianism,Mandarin,Secondary School/Associate Degree/Diploma,1,Friends/Extended Family/Neighbour,Bio Lab,2,Hall,0,Neutral,Yes,29/01/2023
28,Male,Confucianism,Thai,Master or above,1,School Website,Hall,3,Hall,6,Strongly Disagree,No,28/01/2023
43,Male,Hinduism,Cantonese,University,2,Friends/Extended Family/Neighbour,Basketball Court,10,Hall,4,Agree,Yes,29/01/2023
49,Female,Catholicism,Mandarin,Primary School or below,1,School Website,Library,0,Library,2,Disagree,No,28/01/2023
60,Female,Confucianism,Vietnamese,Master or above,2,School Website,Bio Lab,10,Hall,6,Strongly Disagree,Yes,28/01/2023
56,Male,Chinese God,English,Secondary School/Associate Degree/Diploma,3,Social Media,Hall,8,Library,10,Neutral,Yes,28/01/2023
58,Male,Protestantism,Cantonese,University,4,Newspaper/ Magazine,Library,7,Library,0,Neutral,Yes,29/01/2023
42,Male,Confucianism,English,Secondary School/Associate Degree/Diploma,3,Newspaper/ Magazine,Chem Lab,9,Chem Lab,1,Strongly Agree,No,29/01/2023
42,Genderfluid,Taoism,Mandarin,Primary School or below,4,Social Media,Chem Lab,5,Phy Lab,6,Strongly Agree,,28/01/2023
20,Female,Buddhism,Vietnamese,Primary School or below,2,Friends/Extended Family/Neighbour,Library,6,Canteen,10,Agree,Yes,29/01/2023
27,Male,Sikhism,Filipino,Primary School or below,5,School Website,VA room,7,Phy Lab,8,Strongly Disagree,Yes,28/01/2023
28,Male,Hinduism,Mandarin,Master or above,5,Newspaper/ Magazine,Hall,9,Bio Lab,5,Disagree,Yes,29/01/2023
34,Male,Islam,Thai,Secondary School/Associate Degree/Diploma,5,Newspaper/ Magazine,VA room,2,Canteen,1,Neutral,No,28/01/2023
35,Male,Hinduism,Mandarin,Primary School or below,1,Friends/Extended Family/Neighbour,Bio Lab,4,Canteen,6,Strongly Agree,Yes,29/01/2023
51,Female,Hinduism,Filipino,Secondary School/Associate Degree/Diploma,2,Friends/Extended Family/Neighbour,Phy Lab,8,Library,0,Strongly Agree,Yes,28/01/2023
44,Female,Hinduism,Cantonese,Master or above,3,Social Media,Hall,6,VA room,6,Strongly Agree,No,28/01/2023
54,Male,Sikhism,Cantonese,Secondary School/Associate Degree/Diploma,0,Friends/Extended Family/Neighbour,Chem Lab,2,Phy Lab,9,Strongly Agree,No,29/01/2023
25,Female,Chinese God,Mandarin,University,2,Social Media,Canteen,2,Bio Lab,5,Disagree,Yes,29/01/2023
52,Agender,Taoism,Thai,Secondary School/Associate Degree/Diploma,2,Social Media,Canteen,7,Phy Lab,7,Disagree,No,29/01/2023
36,Male,Islam,Thai,Secondary School/Associate Degree/Diploma,2,Newspaper/ Magazine,Canteen,4,Bio Lab,1,Strongly Disagree,No,29/01/2023
43,Male,Hinduism,Indonesian,Master or above,5,Social Media,Chem Lab,1,Hall,6,Strongly Agree,No,28/01/2023
19,Male,Protestantism,Mandarin,Secondary School/Associate Degree/Diploma,0,Friends/Extended Family/Neighbour,Hall,10,Phy Lab,9,Strongly Disagree,No,28/01/2023
40,Female,Islam,Filipino,Master or above,1,Newspaper/ Magazine,Canteen,4,Phy Lab,5,Neutral,Yes,29/01/2023
21,Male,Taoism,Indonesian,University,4,Friends/Extended Family/Neighbour,Hall,6,Canteen,2,Neutral,Yes,29/01/2023
49,Male,Taoism,Indonesian,University,0,Social Media,Chem Lab,2,Basketball Court,7,Agree,,28/01/2023
33,Female,Sikhism,Mandarin,Secondary School/Associate Degree/Diploma,2,Social Media,Basketball Court,10,Hall,3,Strongly Agree,Yes,29/01/2023
34,Male,Confucianism,Mandarin,Secondary School/Associate Degree/Diploma,2,Friends/Extended Family/Neighbour,VA room,10,Basketball Court,4,Agree,No,28/01/2023
31,Female,Protestantism,Thai,Primary School or below,0,Friends/Extended Family/Neighbour,Basketball Court,3,Phy Lab,4,Strongly Agree,Yes,28/01/2023
45,Genderfluid,Catholicism,Filipino,Master or above,0,Newspaper/ Magazine,Chem Lab,1,Library,7,Strongly Disagree,,29/01/2023
31,Male,Protestantism,Thai,Primary School or below,2,Newspaper/ Magazine,Phy Lab,7,Canteen,6,Strongly Disagree,No,29/01/2023
57,Male,Chinese God,Thai,University,1,Social Media,Bio Lab,8,Canteen,7,Disagree,No,29/01/2023
50,Male,Taoism,Filipino,Primary School or below,5,Newspaper/ Magazine,Library,9,Library,5,Neutral,Yes,28/01/2023
32,Male,Buddhism,Filipino,Primary School or below,4,School Website,VA room,4,VA room,7,Neutral,Yes,29/01/2023
40,Male,Sikhism,Indonesian,Secondary School/Associate Degree/Diploma,5,Friends/Extended Family/Neighbour,VA room,2,Bio Lab,10,Strongly Disagree,Yes,28/01/2023
52,Male,Islam,Cantonese,Primary School or below,5,School Website,Basketball Court,9,Phy Lab,5,Strongly Agree,,28/01/2023
43,Male,Hinduism,English,Primary School or below,3,School Website,Phy Lab,9,VA room,5,Strongly Disagree,Yes,29/01/2023
45,Female,Sikhism,Filipino,Master or above,4,Newspaper/ Magazine,Basketball Court,4,Hall,8,Neutral,Yes,29/01/2023
22,Male,Taoism,Thai,Primary School or below,1,Friends/Extended Family/Neighbour,Canteen,10,Basketball Court,5,Agree,,29/01/2023
42,Male,Chinese God,Thai,Primary School or below,5,Friends/Extended Family/Neighbour,Basketball Court,0,Bio Lab,9,Strongly Agree,No,29/01/2023
46,Female,Taoism,Vietnamese,University,3,Newspaper/ Magazine,Library,3,Phy Lab,4,Strongly Agree,No,28/01/2023
38,Female,Buddhism,English,Master or above,5,School Website,Library,7,Basketball Court,0,Strongly Disagree,Yes,28/01/2023
20,Female,Chinese God,English,Secondary School/Associate Degree/Diploma,2,School Website,Hall,9,Chem Lab,1,Agree,Yes,28/01/2023
50,Male,Protestantism,Vietnamese,Master or above,1,Friends/Extended Family/Neighbour,Library,5,Canteen,0,Disagree,,29/01/2023
28,Polygender,Confucianism,Cantonese,Master or above,3,Friends/Extended Family/Neighbour,Library,6,Bio Lab,2,Agree,Yes,28/01/2023
45,Male,Taoism,Thai,Master or above,3,School Website,Phy Lab,4,Chem Lab,2,Disagree,Yes,28/01/2023
49,Female,Buddhism,Indonesian,Primary School or below,5,Friends/Extended Family/Neighbour,Canteen,8,Basketball Court,1,Agree,Yes,29/01/2023
23,Male,Buddhism,Vietnamese,University,5,Social Media,Chem Lab,4,Canteen,7,Disagree,Yes,28/01/2023
34,Male,Protestantism,Cantonese,Primary School or below,0,Social Media,Hall,6,Chem Lab,2,Disagree,Yes,29/01/2023
57,Bigender,Protestantism,Thai,Primary School or below,2,Social Media,Phy Lab,2,Basketball Court,4,Disagree,No,28/01/2023
54,Non-binary,Confucianism,Filipino,Primary School or below,1,Newspaper/ Magazine,Phy Lab,1,VA room,0,Strongly Disagree,Yes,29/01/2023
38,Male,Buddhism,Thai,Master or above,0,Newspaper/ Magazine,Hall,1,Chem Lab,1,Strongly Disagree,Yes,29/01/2023
23,Non-binary,Sikhism,Vietnamese,Primary School or below,2,School Website,Hall,8,Chem Lab,2,Disagree,No,28/01/2023
43,Male,Hinduism,English,Master or above,2,Newspaper/ Magazine,Library,2,Library,8,Agree,Yes,29/01/2023
27,Female,Taoism,Indonesian,Primary School or below,2,Social Media,Chem Lab,10,Phy Lab,6,Strongly Agree,No,28/01/2023
20,Non-binary,Islam,Indonesian,University,3,Newspaper/ Magazine,Canteen,1,Canteen,7,Strongly Disagree,No,28/01/2023
30,Male,Chinese God,Filipino,Primary School or below,4,School Website,Basketball Court,0,Phy Lab,1,Strongly Agree,Yes,28/01/2023
39,Female,Confucianism,Indonesian,Master or above,1,Newspaper/ Magazine,VA room,8,Library,5,Strongly Disagree,No,29/01/2023
34,Male,Confucianism,Mandarin,Master or above,5,School Website,Chem Lab,1,Basketball Court,6,Neutral,No,28/01/2023
36,Female,Islam,Vietnamese,University,1,Friends/Extended Family/Neighbour,VA room,1,Chem Lab,9,Strongly Disagree,No,28/01/2023
27,Male,Catholicism,Indonesian,Master or above,3,Newspaper/ Magazine,Hall,3,Library,3,Agree,Yes,28/01/2023
49,Female,Taoism,Mandarin,Secondary School/Associate Degree/Diploma,3,Friends/Extended Family/Neighbour,Phy Lab,4,Library,10,Disagree,Yes,29/01/2023
31,Male,Islam,Indonesian,Primary School or below,5,Social Media,Phy Lab,9,VA room,4,Agree,No,28/01/2023
46,Female,Catholicism,Cantonese,University,1,Friends/Extended Family/Neighbour,Phy Lab,9,VA room,2,Agree,No,28/01/2023
25,Female,Islam,Vietnamese,Master or above,3,Social Media,Phy Lab,10,Basketball Court,5,Neutral,Yes,28/01/2023
51,Male,Islam,English,Master or above,2,Newspaper/ Magazine,VA room,4,Hall,3,Strongly Agree,No,28/01/2023
47,Polygender,Hinduism,English,Secondary School/Associate Degree/Diploma,0,Newspaper/ Magazine,Canteen,6,VA room,8,Agree,No,28/01/2023
52,Female,Protestantism,Mandarin,Primary School or below,4,Newspaper/ Magazine,Library,4,Basketball Court,0,Disagree,No,28/01/2023
53,Female,Chinese God,Filipino,Primary School or below,1,Friends/Extended Family/Neighbour,Canteen,7,Basketball Court,3,Disagree,Yes,28/01/2023
34,Female,Taoism,English,University,3,Friends/Extended Family/Neighbour,Basketball Court,2,Bio Lab,8,Neutral,Yes,28/01/2023
41,Female,Chinese God,Cantonese,Master or above,1,Social Media,Library,8,Library,0,Strongly Agree,,28/01/2023
19,Male,Islam,Indonesian,Primary School or below,4,School Website,Bio Lab,1,Canteen,0,Neutral,Yes,28/01/2023
46,Female,Islam,Thai,University,4,School Website,Canteen,9,Chem Lab,5,Disagree,No,29/01/2023
46,Female,Catholicism,Vietnamese,University,0,Social Media,Hall,5,Chem Lab,4,Strongly Disagree,Yes,28/01/2023
50,Male,Chinese God,Indonesian,Secondary School/Associate Degree/Diploma,1,School Website,VA room,5,Hall,5,Strongly Disagree,,28/01/2023
26,Genderfluid,Hinduism,English,Master or above,2,School Website,Hall,5,Chem Lab,3,Agree,,29/01/2023
19,Female,Protestantism,Vietnamese,Secondary School/Associate Degree/Diploma,3,School Website,Canteen,7,Basketball Court,7,Strongly Agree,Yes,29/01/2023
35,Genderfluid,Islam,Vietnamese,Primary School or below,4,Social Media,Basketball Court,10,Library,10,Agree,No,29/01/2023
23,Polygender,Catholicism,Indonesian,Master or above,2,Newspaper/ Magazine,Library,8,Library,9,Neutral,Yes,28/01/2023
49,Male,Buddhism,Indonesian,University,4,School Website,Canteen,10,Hall,10,Neutral,No,29/01/2023
22,Male,Confucianism,Cantonese,Master or above,0,Social Media,Hall,4,Basketball Court,9,Neutral,Yes,29/01/2023
21,Male,Chinese God,Mandarin,Primary School or below,1,School Website,Bio Lab,1,Basketball Court,9,Strongly Agree,No,28/01/2023
54,Female,Hinduism,Mandarin,University,5,School Website,Bio Lab,0,Chem Lab,0,Strongly Disagree,Yes,28/01/2023
19,Male,Buddhism,Cantonese,Primary School or below,4,School Website,Chem Lab,8,Basketball Court,4,Neutral,Yes,28/01/2023
35,Agender,Chinese God,English,University,0,School Website,Chem Lab,10,Basketball Court,9,Strongly Agree,Yes,29/01/2023
39,Female,Catholicism,English,Primary School or below,5,Friends/Extended Family/Neighbour,Library,6,Bio Lab,4,Neutral,No,29/01/2023
48,Female,Sikhism,Vietnamese,University,5,Newspaper/ Magazine,VA room,2,Phy Lab,1,Neutral,Yes,28/01/2023
28,Male,Islam,Cantonese,Primary School or below,3,Friends/Extended Family/Neighbour,Hall,6,Bio Lab,7,Strongly Agree,No,28/01/2023
36,Male,Catholicism,English,Secondary School/Associate Degree/Diploma,1,Social Media,Library,1,Basketball Court,9,Strongly Agree,Yes,29/01/2023
30,Male,Hinduism,Vietnamese,Primary School or below,3,Social Media,Canteen,3,Bio Lab,0,Strongly Disagree,,28/01/2023
45,Genderqueer,Chinese God,Mandarin,Secondary School/Associate Degree/Diploma,1,School Website,Hall,7,Library,9,Strongly Disagree,Yes,28/01/2023
33,Male,Catholicism,Filipino,Master or above,2,School Website,Bio Lab,10,Hall,6,Strongly Agree,Yes,29/01/2023
58,Agender,Buddhism,Thai,Secondary School/Associate Degree/Diploma,4,Friends/Extended Family/Neighbour,Chem Lab,6,Phy Lab,5,Agree,Yes,29/01/2023
42,Female,Sikhism,Filipino,Primary School or below,1,Friends/Extended Family/Neighbour,Basketball Court,8,Canteen,10,Neutral,No,29/01/2023
29,Female,Buddhism,Thai,Primary School or below,0,School Website,Chem Lab,10,Library,7,Strongly Disagree,Yes,28/01/2023
41,Male,Protestantism,Mandarin,Master or above,4,School Website,VA room,6,Library,2,Neutral,Yes,29/01/2023
60,Male,Hinduism,English,Primary School or below,0,Social Media,Hall,8,Chem Lab,2,Disagree,Yes,29/01/2023
46,Male,Taoism,Mandarin,Master or above,3,School Website,Phy Lab,2,VA room,2,Disagree,No,29/01/2023
60,Female,Chinese God,Cantonese,Primary School or below,4,Friends/Extended Family/Neighbour,Basketball Court,4,Phy Lab,1,Strongly Agree,No,29/01/2023
56,Male,Catholicism,Filipino,University,5,Social Media,Phy Lab,10,Library,5,Strongly Disagree,Yes,29/01/2023
52,Female,Chinese God,Thai,Master or above,1,Newspaper/ Magazine,Chem Lab,2,Hall,1,Disagree,Yes,29/01/2023
18,Male,Protestantism,Cantonese,Secondary School/Associate Degree/Diploma,2,School Website,Basketball Court,8,Canteen,4,Neutral,Yes,29/01/2023
23,Polygender,Catholicism,English,Primary School or below,5,Friends/Extended Family/Neighbour,Phy Lab,0,Hall,7,Disagree,Yes,29/01/2023
46,Male,Buddhism,Indonesian,Master or above,1,Social Media,Basketball Court,3,Basketball Court,10,Strongly Disagree,No,29/01/2023
45,Male,Hinduism,Thai,University,0,School Website,Phy Lab,4,Library,9,Strongly Agree,No,29/01/2023
37,Female,Hinduism,Thai,University,0,Newspaper/ Magazine,Canteen,5,Chem Lab,3,Agree,Yes,29/01/2023
41,Non-binary,Taoism,Indonesian,Master or above,1,Friends/Extended Family/Neighbour,Canteen,1,Canteen,1,Neutral,,28/01/2023
39,Male,Sikhism,Mandarin,Master or above,4,School Website,Library,5,VA room,5,Strongly Disagree,,29/01/2023
55,Female,Buddhism,Filipino,Secondary School/Associate Degree/Diploma,2,Social Media,Library,0,Bio Lab,10,Strongly Agree,,29/01/2023
22,Male,Chinese God,English,Secondary School/Associate Degree/Diploma,5,Friends/Extended Family/Neighbour,Basketball Court,7,VA room,4,Strongly Disagree,Yes,28/01/2023
60,Female,Buddhism,Cantonese,University,0,Friends/Extended Family/Neighbour,Bio Lab,1,Library,7,Agree,,29/01/2023
42,Female,Buddhism,Cantonese,University,2,School Website,Hall,2,Library,1,Disagree,,29/01/2023
44,Male,Sikhism,Cantonese,University,2,Newspaper/ Magazine,Basketball Court,9,Hall,4,Strongly Disagree,,29/01/2023
22,Male,Protestantism,Filipino,University,5,School Website,Phy Lab,3,Phy Lab,3,Strongly Disagree,Yes,29/01/2023
22,Male,Chinese God,Filipino,Master or above,5,Newspaper/ Magazine,Hall,2,Hall,2,Neutral,No,29/01/2023
34,Male,Islam,Vietnamese,Master or above,1,Newspaper/ Magazine,Hall,4,Canteen,8,Neutral,Yes,28/01/2023
39,Female,Catholicism,Indonesian,Master or above,3,Social Media,Library,1,VA room,6,Agree,No,29/01/2023
39,Male,Sikhism,Cantonese,University,1,School Website,Bio Lab,1,Canteen,0,Strongly Agree,Yes,28/01/2023
25,Male,Taoism,Mandarin,Secondary School/Associate Degree/Diploma,5,Social Media,Hall,5,Bio Lab,0,Disagree,No,28/01/2023
56,Male,Hinduism,Indonesian,University,2,Social Media,Phy Lab,9,Hall,3,Strongly Disagree,Yes,28/01/2023
54,Male,Chinese God,Indonesian,University,2,School Website,Hall,6,Basketball Court,10,Disagree,No,28/01/2023
31,Male,Buddhism,Thai,Primary School or below,1,Social Media,Basketball Court,3,Bio Lab,8,Neutral,Yes,29/01/2023
19,Male,Hinduism,Filipino,University,0,Friends/Extended Family/Neighbour,Hall,4,Hall,9,Strongly Disagree,No,29/01/2023
20,Male,Taoism,Thai,University,0,Social Media,Chem Lab,8,VA room,3,Agree,Yes,28/01/2023
43,Male,Hinduism,Vietnamese,Master or above,1,School Website,Library,9,Hall,3,Agree,Yes,29/01/2023
27,Female,Catholicism,Filipino,Master or above,3,Social Media,Canteen,7,Library,7,Disagree,No,28/01/2023
24,Male,Islam,Indonesian,Primary School or below,5,Newspaper/ Magazine,VA room,8,Hall,8,Agree,Yes,28/01/2023
44,Non-binary,Sikhism,Indonesian,Secondary School/Associate Degree/Diploma,1,School Website,VA room,8,Phy Lab,8,Strongly Disagree,No,28/01/2023
46,Male,Protestantism,Mandarin,Primary School or below,4,Friends/Extended Family/Neighbour,Chem Lab,8,Hall,9,Disagree,Yes,29/01/2023
55,Male,Sikhism,Indonesian,Secondary School/Associate Degree/Diploma,2,Newspaper/ Magazine,Basketball Court,3,Basketball Court,10,Disagree,Yes,29/01/2023
34,Male,Taoism,Filipino,Primary School or below,4,Social Media,Canteen,2,Canteen,6,Disagree,,29/01/2023
60,Female,Buddhism,Filipino,Secondary School/Associate Degree/Diploma,4,Social Media,Bio Lab,10,VA room,5,Strongly Agree,No,28/01/2023
35,Female,Protestantism,Cantonese,University,0,Social Media,Canteen,7,Basketball Court,3,Strongly Disagree,,29/01/2023
50,Genderqueer,Confucianism,Filipino,University,5,School Website,Library,3,Basketball Court,1,Agree,No,28/01/2023
20,Female,Chinese God,Filipino,University,2,School Website,Bio Lab,1,Bio Lab,1,Neutral,Yes,28/01/2023
39,Male,Protestantism,Indonesian,Master or above,0,Newspaper/ Magazine,Basketball Court,2,Basketball Court,10,Strongly Disagree,No,28/01/2023
55,Male,Buddhism,Thai,University,5,Newspaper/ Magazine,Basketball Court,8,Hall,0,Strongly Disagree,No,28/01/2023
57,Male,Catholicism,English,Secondary School/Associate Degree/Diploma,1,Social Media,Basketball Court,0,Basketball Court,3,Agree,,28/01/2023
38,Agender,Catholicism,Mandarin,Secondary School/Associate Degree/Diploma,0,Social Media,Hall,1,Bio Lab,2,Strongly Agree,No,29/01/2023
36,Female,Confucianism,Vietnamese,Secondary School/Associate Degree/Diploma,3,Friends/Extended Family/Neighbour,Basketball Court,3,Phy Lab,10,Agree,No,28/01/2023
24,Male,Buddhism,Cantonese,Secondary School/Associate Degree/Diploma,3,School Website,Bio Lab,7,Phy Lab,10,Strongly Agree,No,28/01/2023
43,Male,Taoism,Thai,Master or above,3,Newspaper/ Magazine,VA room,4,Hall,10,Strongly Agree,No,28/01/2023
28,Female,Catholicism,Thai,Secondary School/Associate Degree/Diploma,1,School Website,Library,5,Bio Lab,1,Neutral,No,29/01/2023
60,Male,Confucianism,Indonesian,Secondary School/Associate Degree/Diploma,5,School Website,Basketball Court,1,Phy Lab,2,Strongly Agree,No,29/01/2023
50,Male,Sikhism,Vietnamese,University,1,Social Media,Hall,7,Basketball Court,7,Strongly Agree,No,29/01/2023
22,Female,Taoism,English,University,2,Newspaper/ Magazine,Canteen,6,Canteen,1,Neutral,Yes,29/01/2023
55,Male,Chinese God,Thai,Master or above,1,Friends/Extended Family/Neighbour,Basketball Court,7,Library,3,Neutral,No,29/01/2023
22,Female,Chinese God,Filipino,Primary School or below,3,Friends/Extended Family/Neighbour,Library,8,Phy Lab,4,Disagree,No,28/01/2023
39,Female,Chinese God,Mandarin,University,5,Newspaper/ Magazine,Canteen,10,Chem Lab,4,Disagree,Yes,29/01/2023
57,Female,Buddhism,Mandarin,University,2,Friends/Extended Family/Neighbour,Basketball Court,0,VA room,8,Disagree,No,29/01/2023
47,Male,Sikhism,Vietnamese,Primary School or below,1,Friends/Extended Family/Neighbour,Phy Lab,3,Phy Lab,5,Strongly Agree,No,29/01/2023
56,Female,Islam,Mandarin,Primary School or below,3,Friends/Extended Family/Neighbour,Phy Lab,3,Library,9,Neutral,Yes,28/01/2023
21,Female,Buddhism,Filipino,Secondary School/Associate Degree/Diploma,4,Social Media,Canteen,4,Library,7,Strongly Disagree,Yes,28/01/2023
26,Male,Protestantism,Vietnamese,Master or above,2,School Website,Phy Lab,10,Bio Lab,5,Disagree,No,28/01/2023
27,Female,Taoism,Indonesian,Primary School or below,1,Social Media,Canteen,2,VA room,2,Neutral,No,29/01/2023
31,Female,Buddhism,Vietnamese,Master or above,1,Social Media,Basketball Court,1,Phy Lab,8,Agree,No,28/01/2023
25,Male,Catholicism,Mandarin,Primary School or below,2,School Website,Library,9,VA room,3,Disagree,,29/01/2023
21,Polygender,Sikhism,Indonesian,Primary School or below,4,Social Media,VA room,9,Library,10,Neutral,No,28/01/2023
56,Male,Sikhism,Mandarin,Secondary School/Associate Degree/Diploma,4,School Website,Library,5,VA room,8,Disagree,Yes,28/01/2023
60,Female,Protestantism,Filipino,Master or above,4,Social Media,Phy Lab,2,Chem Lab,9,Strongly Disagree,No,28/01/2023
48,Male,Chinese God,Indonesian,University,2,Friends/Extended Family/Neighbour,Canteen,3,Basketball Court,7,Strongly Disagree,Yes,28/01/2023
47,Bigender,Hinduism,Indonesian,University,3,Social Media,Phy Lab,8,Basketball Court,6,Strongly Agree,No,29/01/2023
56,Female,Hinduism,Vietnamese,Master or above,0,Social Media,Canteen,9,Library,7,Neutral,Yes,29/01/2023
34,Male,Taoism,Thai,Master or above,1,Social Media,Hall,8,Library,3,Strongly Disagree,No,29/01/2023
51,Male,Buddhism,English,University,5,Social Media,Canteen,9,Hall,4,Neutral,Yes,29/01/2023
25,Female,Catholicism,Vietnamese,University,4,Social Media,Phy Lab,4,Bio Lab,8,Disagree,,29/01/2023
39,Female,Protestantism,Thai,Master or above,1,School Website,VA room,1,Bio Lab,1,Strongly Agree,No,28/01/2023
43,Male,Sikhism,Mandarin,University,1,School Website,Basketball Court,9,Canteen,7,Disagree,No,28/01/2023
32,Female,Taoism,Mandarin,University,4,Friends/Extended Family/Neighbour,Hall,4,Hall,0,Strongly Agree,No,28/01/2023
48,Female,Sikhism,Mandarin,Primary School or below,5,Newspaper/ Magazine,Basketball Court,2,Library,4,Disagree,No,29/01/2023
34,Genderqueer,Catholicism,Filipino,Primary School or below,0,School Website,Bio Lab,1,Library,8,Strongly Agree,No,28/01/2023
24,Male,Sikhism,English,Secondary School/Associate Degree/Diploma,3,Newspaper/ Magazine,Basketball Court,4,Hall,3,Neutral,No,29/01/2023
57,Male,Islam,Thai,Secondary School/Associate Degree/Diploma,4,Friends/Extended Family/Neighbour,Basketball Court,5,Basketball Court,6,Strongly Disagree,Yes,29/01/2023
23,Female,Buddhism,Cantonese,Secondary School/Associate Degree/Diploma,1,Newspaper/ Magazine,Chem Lab,5,Phy Lab,4,Neutral,No,29/01/2023
35,Male,Confucianism,Cantonese,Primary School or below,4,Social Media,Canteen,1,Hall,1,Disagree,Yes,28/01/2023
32,Polygender,Chinese God,Indonesian,Master or above,3,Newspaper/ Magazine,VA room,8,Bio Lab,4,Strongly Disagree,No,28/01/2023
46,Male,Islam,Filipino,Secondary School/Associate Degree/Diploma,2,Social Media,Library,10,Library,8,Neutral,Yes,28/01/2023
27,Male,Catholicism,Indonesian,University,4,School Website,Bio Lab,10,Hall,3,Neutral,No,29/01/2023
38,Female,Catholicism,Filipino,Secondary School/Associate Degree/Diploma,0,Newspaper/ Magazine,VA room,4,VA room,2,Disagree,,29/01/2023
46,Female,Sikhism,English,University,3,School Website,Canteen,10,Hall,9,Agree,Yes,28/01/2023
59,Female,Chinese God,Thai,University,1,Newspaper/ Magazine,VA room,4,Phy Lab,4,Strongly Agree,Yes,28/01/2023
50,Female,Hinduism,Vietnamese,Secondary School/Associate Degree/Diploma,1,School Website,Basketball Court,10,Hall,6,Agree,,29/01/2023
38,Agender,Catholicism,English,Primary School or below,5,Social Media,Basketball Court,4,Library,0,Neutral,,28/01/2023
30,Female,Hinduism,Thai,Secondary School/Associate Degree/Diploma,1,Friends/Extended Family/Neighbour,Chem Lab,2,Library,5,Disagree,No,29/01/2023
54,Male,Chinese God,Thai,University,5,School Website,Phy Lab,6,Chem Lab,9,Neutral,No,28/01/2023
51,Male,Buddhism,Mandarin,University,4,School Website,Phy Lab,1,VA room,2,Strongly Agree,No,29/01/2023
