age,gender,religion,spokenLanguage,education,numberOfChildren,channel,goodPlace,goodPlaceScore,badPlace,badPlaceScore,teacherFriendly,choose,createdTime,themeLevel,travelTime
32,Female,Catholicism,Mandarin,Primary School or below,4,School Website,Basketball Court,4,Canteen,5,Neutral,Yes,28/01/2020,Partly Dislike,
43,Female,Taoism,English,University,0,Newspaper/ Magazine,Chem Lab,10,Canteen,1,Strongly Disagree,No,29/01/2020,Partly Dislike,
57,Female,Islam,Thai,Primary School or below,0,Newspaper/ Magazine,Hall,8,Canteen,7,Agree,Yes,29/01/2020,Partly Dislike,
40,Agender,Buddhism,Filipino,Secondary School/Associate Degree/Diploma,5,Friends/Extended Family/Neighbour,VA room,7,Hall,6,Disagree,No,28/01/2020,Partly Dislike,
21,Non-binary,Islam,Cantonese,Primary School or below,1,Friends/Extended Family/Neighbour,Bio Lab,1,Library,10,Neutral,Yes,28/01/2020,Partly Like,
42,Male,Hinduism,Mandarin,University,3,Social Media,Chem Lab,6,Phy Lab,1,Strongly Disagree,No,28/01/2020,Partly Like,
51,Female,Catholicism,Filipino,Master or above,4,Friends/Extended Family/Neighbour,Bio Lab,9,Phy Lab,9,Disagree,Yes,28/01/2020,Normal,
54,Male,Chinese God,Vietnamese,Secondary School/Associate Degree/Diploma,0,Newspaper/ Magazine,Phy Lab,6,Chem Lab,0,Strongly Agree,No,28/01/2020,Normal,
49,Male,Islam,Thai,Master or above,1,Social Media,Hall,8,Bio Lab,2,Strongly Disagree,No,28/01/2020,Normal,
49,Female,Protestantism,Cantonese,Secondary School/Associate Degree/Diploma,0,Friends/Extended Family/Neighbour,Basketball Court,3,Chem Lab,4,Strongly Agree,No,29/01/2020,Partly Dislike,
30,Genderqueer,Chinese God,Thai,Master or above,0,Friends/Extended Family/Neighbour,Hall,6,Basketball Court,1,Neutral,No,29/01/2020,Partly Dislike,
39,Female,Buddhism,Cantonese,University,1,Friends/Extended Family/Neighbour,Library,4,Library,9,Neutral,Yes,29/01/2020,Partly Dislike,
48,Female,Sikhism,Filipino,Secondary School/Associate Degree/Diploma,3,Friends/Extended Family/Neighbour,Library,6,Basketball Court,9,Disagree,Yes,28/01/2020,Partly Dislike,
28,Male,Sikhism,Cantonese,Secondary School/Associate Degree/Diploma,1,School Website,Library,7,Hall,4,Neutral,No,28/01/2020,Normal,
33,Male,Islam,Cantonese,Primary School or below,1,Social Media,Library,1,Chem Lab,0,Strongly Agree,Yes,29/01/2020,Normal,
45,Male,Chinese God,Mandarin,Primary School or below,3,Newspaper/ Magazine,Canteen,0,Bio Lab,7,Agree,No,28/01/2020,Strongly Dislike,
56,Male,Protestantism,Vietnamese,Secondary School/Associate Degree/Diploma,3,School Website,Hall,5,Library,5,Neutral,Yes,29/01/2020,Strongly Like,
39,Non-binary,Islam,Filipino,Primary School or below,5,Newspaper/ Magazine,Canteen,9,VA room,4,Neutral,Yes,28/01/2020,Strongly Dislike,
22,Genderfluid,Chinese God,Filipino,University,3,Social Media,Canteen,6,Basketball Court,9,Strongly Disagree,Yes,28/01/2020,Normal,
21,Male,Protestantism,Indonesian,University,2,School Website,Canteen,7,Canteen,10,Disagree,No,29/01/2020,Normal,
39,Female,Confucianism,Vietnamese,University,0,Friends/Extended Family/Neighbour,Basketball Court,6,Phy Lab,8,Strongly Disagree,Yes,28/01/2020,Strongly Dislike,
26,Female,Chinese God,Mandarin,University,5,School Website,Canteen,9,Basketball Court,6,Strongly Disagree,No,28/01/2020,Partly Dislike,
30,Female,Buddhism,Vietnamese,Secondary School/Associate Degree/Diploma,4,School Website,Basketball Court,7,Basketball Court,1,Agree,No,29/01/2020,Strongly Dislike,
35,Female,Taoism,Filipino,Secondary School/Associate Degree/Diploma,5,Social Media,VA room,6,Bio Lab,5,Neutral,Yes,29/01/2020,Partly Like,
57,Male,Taoism,English,Primary School or below,0,School Website,Basketball Court,1,Bio Lab,9,Strongly Agree,Yes,28/01/2020,Partly Like,
46,Female,Taoism,Filipino,Secondary School/Associate Degree/Diploma,0,Newspaper/ Magazine,Basketball Court,5,Basketball Court,6,Agree,Yes,28/01/2020,Strongly Like,
39,Female,Catholicism,English,Secondary School/Associate Degree/Diploma,1,School Website,Phy Lab,8,VA room,1,Neutral,No,28/01/2020,Partly Dislike,
25,Polygender,Catholicism,Cantonese,University,4,Social Media,Basketball Court,4,Phy Lab,4,Agree,No,29/01/2020,Partly Like,
47,Male,Islam,Thai,Secondary School/Associate Degree/Diploma,1,School Website,Phy Lab,4,Library,5,Agree,No,29/01/2020,Partly Like,
40,Female,Taoism,English,University,3,Social Media,Canteen,7,VA room,6,Strongly Disagree,No,28/01/2020,Strongly Dislike,
60,Male,Chinese God,English,Secondary School/Associate Degree/Diploma,3,Newspaper/ Magazine,VA room,0,Library,3,Disagree,No,28/01/2020,Strongly Like,
20,Female,Catholicism,Cantonese,Master or above,5,Newspaper/ Magazine,Hall,8,Library,4,Strongly Agree,No,29/01/2020,Strongly Dislike,
25,Female,Chinese God,Vietnamese,Master or above,4,Newspaper/ Magazine,Hall,6,Hall,3,Agree,Yes,28/01/2020,Strongly Dislike,
20,Female,Protestantism,Vietnamese,Primary School or below,0,Friends/Extended Family/Neighbour,Hall,5,Canteen,0,Strongly Disagree,No,28/01/2020,Normal,
56,Female,Buddhism,Mandarin,Secondary School/Associate Degree/Diploma,2,Friends/Extended Family/Neighbour,Chem Lab,6,Library,1,Neutral,No,28/01/2020,Partly Like,
50,Female,Hinduism,Mandarin,University,1,Friends/Extended Family/Neighbour,Library,3,Canteen,6,Disagree,Yes,29/01/2020,Partly Dislike,
39,Female,Protestantism,English,Primary School or below,2,School Website,VA room,3,Chem Lab,1,Neutral,No,28/01/2020,Normal,
43,Female,Taoism,Thai,Master or above,4,Newspaper/ Magazine,Chem Lab,1,Phy Lab,7,Agree,No,28/01/2020,Strongly Dislike,
56,Female,Catholicism,English,Primary School or below,2,School Website,Hall,4,Library,8,Neutral,No,29/01/2020,Normal,
54,Male,Islam,English,University,1,Social Media,Chem Lab,4,Bio Lab,2,Agree,No,29/01/2020,Strongly Dislike,
25,Male,Buddhism,Indonesian,University,1,Friends/Extended Family/Neighbour,Hall,9,Bio Lab,7,Disagree,No,28/01/2020,Partly Dislike,
59,Female,Taoism,English,University,1,School Website,Hall,10,Library,1,Agree,Yes,29/01/2020,Strongly Like,
59,Female,Chinese God,English,Secondary School/Associate Degree/Diploma,4,Newspaper/ Magazine,Chem Lab,7,Library,0,Strongly Disagree,Yes,28/01/2020,Partly Dislike,
23,Male,Protestantism,Filipino,Master or above,3,Newspaper/ Magazine,Basketball Court,1,Phy Lab,9,Disagree,No,28/01/2020,Strongly Like,
57,Male,Catholicism,Cantonese,Primary School or below,1,Newspaper/ Magazine,Canteen,2,Canteen,1,Strongly Agree,No,29/01/2020,Strongly Dislike,
54,Female,Catholicism,Vietnamese,University,3,School Website,VA room,2,Canteen,10,Neutral,No,28/01/2020,Normal,
37,Female,Chinese God,Filipino,Secondary School/Associate Degree/Diploma,4,Friends/Extended Family/Neighbour,Bio Lab,5,Basketball Court,9,Disagree,Yes,29/01/2020,Partly Like,
53,Female,Taoism,Indonesian,Secondary School/Associate Degree/Diploma,2,Social Media,Chem Lab,5,Library,3,Disagree,Yes,29/01/2020,Partly Like,
20,Male,Sikhism,Cantonese,Primary School or below,5,Newspaper/ Magazine,Phy Lab,7,Canteen,2,Neutral,Yes,29/01/2020,Partly Like,
34,Male,Chinese God,Cantonese,Secondary School/Associate Degree/Diploma,4,Friends/Extended Family/Neighbour,Canteen,5,Library,0,Neutral,Yes,29/01/2020,Strongly Dislike,
24,Genderfluid,Catholicism,Indonesian,Secondary School/Associate Degree/Diploma,3,Social Media,Phy Lab,9,VA room,4,Disagree,No,28/01/2020,Normal,
44,Female,Taoism,Vietnamese,Master or above,1,Social Media,Bio Lab,8,Hall,1,Strongly Disagree,No,28/01/2020,Strongly Like,
34,Female,Islam,Cantonese,University,2,Newspaper/ Magazine,Chem Lab,9,Phy Lab,8,Strongly Agree,No,29/01/2020,Strongly Dislike,
18,Male,Protestantism,Thai,Secondary School/Associate Degree/Diploma,1,School Website,VA room,2,Phy Lab,1,Agree,Yes,29/01/2020,Partly Like,
52,Male,Protestantism,Vietnamese,Secondary School/Associate Degree/Diploma,0,Newspaper/ Magazine,Basketball Court,3,Hall,7,Agree,Yes,28/01/2020,Strongly Dislike,
28,Female,Catholicism,Vietnamese,Primary School or below,5,School Website,Basketball Court,8,Basketball Court,0,Disagree,Yes,29/01/2020,Normal,
28,Genderqueer,Buddhism,Mandarin,Primary School or below,3,School Website,Chem Lab,6,Hall,1,Neutral,No,29/01/2020,Partly Like,
38,Male,Taoism,Indonesian,Primary School or below,3,Newspaper/ Magazine,Basketball Court,10,Basketball Court,10,Strongly Disagree,No,28/01/2020,Strongly Dislike,
36,Female,Sikhism,Mandarin,University,5,Newspaper/ Magazine,Bio Lab,6,Library,0,Strongly Disagree,No,28/01/2020,Partly Like,
29,Female,Protestantism,Thai,Primary School or below,3,Social Media,Bio Lab,0,Library,1,Strongly Agree,Yes,28/01/2020,Partly Like,
18,Male,Protestantism,Vietnamese,Secondary School/Associate Degree/Diploma,5,Friends/Extended Family/Neighbour,Canteen,6,Phy Lab,5,Strongly Disagree,No,28/01/2020,Strongly Like,
21,Male,Islam,Cantonese,Master or above,3,Newspaper/ Magazine,Phy Lab,3,Chem Lab,9,Disagree,No,28/01/2020,Strongly Like,
50,Male,Sikhism,Cantonese,Master or above,5,School Website,Hall,0,Canteen,0,Disagree,Yes,29/01/2020,Partly Dislike,
18,Female,Islam,Mandarin,University,3,Friends/Extended Family/Neighbour,Library,8,Hall,2,Neutral,Yes,29/01/2020,Partly Dislike,
54,Male,Hinduism,Filipino,Secondary School/Associate Degree/Diploma,1,Friends/Extended Family/Neighbour,Bio Lab,1,Library,5,Disagree,Yes,28/01/2020,Strongly Like,
51,Male,Sikhism,Filipino,Master or above,4,Newspaper/ Magazine,Bio Lab,10,Phy Lab,4,Strongly Agree,Yes,28/01/2020,Normal,
48,Male,Taoism,Indonesian,Secondary School/Associate Degree/Diploma,2,Newspaper/ Magazine,Canteen,7,Library,2,Agree,No,28/01/2020,Normal,
37,Agender,Sikhism,Cantonese,Secondary School/Associate Degree/Diploma,2,School Website,Chem Lab,2,Chem Lab,1,Neutral,No,29/01/2020,Partly Dislike,
57,Female,Protestantism,Cantonese,University,4,Friends/Extended Family/Neighbour,Basketball Court,6,Canteen,7,Agree,Yes,28/01/2020,Partly Dislike,
21,Male,Chinese God,Indonesian,Master or above,5,Newspaper/ Magazine,Phy Lab,8,VA room,2,Strongly Agree,Yes,29/01/2020,Strongly Like,
28,Male,Confucianism,Filipino,Secondary School/Associate Degree/Diploma,3,Newspaper/ Magazine,Canteen,8,Library,7,Disagree,Yes,29/01/2020,Partly Like,
34,Female,Islam,Vietnamese,Secondary School/Associate Degree/Diploma,3,Friends/Extended Family/Neighbour,Bio Lab,0,Library,1,Strongly Agree,No,29/01/2020,Strongly Dislike,
18,Female,Hinduism,Indonesian,Secondary School/Associate Degree/Diploma,2,Friends/Extended Family/Neighbour,Bio Lab,5,Canteen,9,Strongly Agree,Yes,28/01/2020,Strongly Like,
41,Female,Confucianism,Vietnamese,Primary School or below,3,Newspaper/ Magazine,Hall,4,Library,2,Strongly Agree,No,28/01/2020,Strongly Dislike,
29,Female,Chinese God,Vietnamese,Secondary School/Associate Degree/Diploma,2,Social Media,Basketball Court,5,Hall,0,Strongly Agree,No,29/01/2020,Normal,
44,Genderfluid,Buddhism,English,Master or above,3,Newspaper/ Magazine,Phy Lab,5,Phy Lab,5,Disagree,No,28/01/2020,Strongly Like,
28,Male,Taoism,Filipino,Master or above,3,School Website,Chem Lab,3,Canteen,6,Strongly Disagree,No,29/01/2020,Strongly Like,
50,Male,Buddhism,Filipino,Primary School or below,5,School Website,Canteen,0,VA room,9,Strongly Disagree,No,28/01/2020,Partly Dislike,
29,Male,Chinese God,Thai,Secondary School/Associate Degree/Diploma,3,School Website,Canteen,0,Hall,5,Neutral,Yes,28/01/2020,Strongly Like,
53,Female,Buddhism,Indonesian,Master or above,4,Friends/Extended Family/Neighbour,VA room,9,Chem Lab,1,Agree,Yes,29/01/2020,Partly Like,
26,Male,Islam,Filipino,Primary School or below,3,Social Media,Phy Lab,8,Phy Lab,4,Disagree,No,29/01/2020,Partly Dislike,
38,Female,Buddhism,Vietnamese,University,3,Newspaper/ Magazine,Chem Lab,9,Bio Lab,9,Disagree,No,28/01/2020,Normal,
57,Female,Islam,Filipino,University,1,School Website,Hall,8,Bio Lab,8,Strongly Disagree,No,28/01/2020,Partly Like,
21,Female,Protestantism,Filipino,Secondary School/Associate Degree/Diploma,4,School Website,Chem Lab,6,Hall,1,Strongly Disagree,Yes,29/01/2020,Normal,
21,Female,Sikhism,Mandarin,Primary School or below,5,School Website,Library,9,Library,6,Strongly Agree,Yes,29/01/2020,Normal,
42,Female,Confucianism,Vietnamese,Secondary School/Associate Degree/Diploma,5,Social Media,Canteen,8,Library,3,Neutral,No,29/01/2020,Partly Like,
39,Female,Chinese God,Cantonese,Primary School or below,5,Social Media,Chem Lab,1,Bio Lab,9,Strongly Disagree,No,29/01/2020,Normal,
41,Female,Chinese God,Indonesian,Secondary School/Associate Degree/Diploma,1,Friends/Extended Family/Neighbour,Library,3,Library,9,Strongly Disagree,Yes,28/01/2020,Partly Dislike,
25,Female,Chinese God,English,Primary School or below,3,School Website,Bio Lab,0,Chem Lab,1,Strongly Agree,No,28/01/2020,Normal,
22,Female,Protestantism,Mandarin,University,1,School Website,Basketball Court,9,Chem Lab,8,Strongly Agree,No,29/01/2020,Strongly Like,
29,Female,Buddhism,English,Secondary School/Associate Degree/Diploma,3,School Website,Library,0,Library,8,Disagree,Yes,29/01/2020,Partly Dislike,
36,Female,Hinduism,Cantonese,Master or above,1,Newspaper/ Magazine,Basketball Court,9,Chem Lab,0,Strongly Agree,Yes,29/01/2020,Partly Like,
41,Male,Islam,Filipino,University,1,Friends/Extended Family/Neighbour,Basketball Court,0,Bio Lab,7,Neutral,Yes,29/01/2020,Normal,
47,Male,Protestantism,English,University,5,Social Media,Basketball Court,10,Hall,4,Strongly Disagree,No,28/01/2020,Normal,
59,Female,Catholicism,Cantonese,University,3,Social Media,Chem Lab,2,Chem Lab,1,Strongly Agree,No,28/01/2020,Normal,
27,Female,Catholicism,Vietnamese,University,5,Newspaper/ Magazine,Library,10,Hall,9,Neutral,No,28/01/2020,Partly Dislike,
24,Female,Confucianism,Filipino,University,2,Friends/Extended Family/Neighbour,Phy Lab,9,Chem Lab,6,Disagree,No,29/01/2020,Strongly Dislike,
25,Female,Hinduism,Vietnamese,University,1,Social Media,Bio Lab,6,VA room,5,Strongly Agree,No,28/01/2020,Partly Like,
50,Female,Buddhism,Cantonese,University,2,Social Media,Basketball Court,8,Library,0,Strongly Disagree,No,29/01/2020,Strongly Dislike,
47,Female,Hinduism,Vietnamese,Secondary School/Associate Degree/Diploma,0,Friends/Extended Family/Neighbour,Hall,7,Bio Lab,4,Disagree,Yes,29/01/2020,Strongly Dislike,
59,Female,Catholicism,English,University,2,School Website,Library,3,Hall,2,Disagree,No,28/01/2020,Normal,
26,Male,Catholicism,Thai,Primary School or below,3,Newspaper/ Magazine,Library,5,Bio Lab,3,Agree,No,29/01/2020,Partly Like,
43,Female,Chinese God,Mandarin,Master or above,4,School Website,Phy Lab,0,Phy Lab,6,Strongly Agree,Yes,28/01/2020,Partly Dislike,
60,Female,Islam,Mandarin,Primary School or below,3,Newspaper/ Magazine,Basketball Court,1,Phy Lab,2,Neutral,Yes,28/01/2020,Strongly Dislike,
54,Male,Protestantism,Vietnamese,University,1,Social Media,Chem Lab,9,Basketball Court,1,Neutral,Yes,29/01/2020,Partly Like,
25,Male,Buddhism,Thai,Secondary School/Associate Degree/Diploma,2,Newspaper/ Magazine,Hall,2,Canteen,4,Strongly Disagree,Yes,29/01/2020,Partly Like,
54,Male,Islam,English,Master or above,1,Newspaper/ Magazine,Library,5,Phy Lab,9,Strongly Agree,Yes,28/01/2020,Strongly Dislike,
54,Male,Sikhism,Mandarin,University,0,School Website,Library,5,Library,8,Neutral,No,28/01/2020,Strongly Like,
45,Female,Taoism,Mandarin,Master or above,5,Friends/Extended Family/Neighbour,Chem Lab,2,Library,4,Neutral,Yes,29/01/2020,Partly Dislike,
48,Male,Protestantism,Cantonese,Secondary School/Associate Degree/Diploma,4,Friends/Extended Family/Neighbour,Phy Lab,4,Basketball Court,1,Strongly Disagree,No,28/01/2020,Strongly Dislike,
47,Bigender,Sikhism,English,Secondary School/Associate Degree/Diploma,0,Social Media,Library,7,VA room,1,Strongly Agree,No,28/01/2020,Strongly Like,
47,Male,Catholicism,Cantonese,Master or above,3,School Website,Basketball Court,6,Phy Lab,9,Strongly Disagree,No,28/01/2020,Strongly Like,
23,Bigender,Taoism,Indonesian,University,3,Newspaper/ Magazine,Basketball Court,9,Chem Lab,5,Neutral,No,29/01/2020,Partly Dislike,
47,Female,Hinduism,Vietnamese,Secondary School/Associate Degree/Diploma,5,School Website,Bio Lab,1,Bio Lab,4,Disagree,No,28/01/2020,Strongly Like,
43,Female,Protestantism,English,Master or above,1,School Website,Bio Lab,10,Canteen,3,Strongly Disagree,Yes,28/01/2020,Normal,
26,Female,Chinese God,Indonesian,Master or above,0,Social Media,Bio Lab,0,Chem Lab,7,Agree,Yes,29/01/2020,Partly Dislike,
20,Male,Catholicism,Vietnamese,Master or above,4,Social Media,Canteen,4,Library,3,Agree,Yes,28/01/2020,Strongly Like,
54,Male,Taoism,Mandarin,Master or above,5,Newspaper/ Magazine,Chem Lab,6,Bio Lab,1,Disagree,Yes,29/01/2020,Normal,
40,Female,Buddhism,Filipino,University,1,Social Media,Chem Lab,5,Library,1,Strongly Disagree,Yes,29/01/2020,Partly Like,
30,Male,Taoism,English,Secondary School/Associate Degree/Diploma,1,Social Media,Library,3,Bio Lab,3,Strongly Disagree,No,29/01/2020,Strongly Dislike,
52,Male,Sikhism,Cantonese,Primary School or below,5,Friends/Extended Family/Neighbour,VA room,4,VA room,8,Strongly Disagree,Yes,29/01/2020,Strongly Dislike,
35,Polygender,Catholicism,Indonesian,Primary School or below,2,Social Media,Bio Lab,2,Canteen,0,Neutral,No,28/01/2020,Partly Dislike,
20,Polygender,Hinduism,Indonesian,Master or above,1,Newspaper/ Magazine,Basketball Court,4,Chem Lab,8,Agree,No,29/01/2020,Partly Dislike,
18,Male,Catholicism,Vietnamese,Secondary School/Associate Degree/Diploma,4,Friends/Extended Family/Neighbour,VA room,1,Bio Lab,2,Neutral,No,29/01/2020,Partly Like,
54,Male,Buddhism,Cantonese,Master or above,4,Social Media,Library,6,Bio Lab,9,Strongly Disagree,No,28/01/2020,Normal,
38,Female,Protestantism,English,Primary School or below,3,Newspaper/ Magazine,Library,0,Basketball Court,2,Neutral,No,28/01/2020,Normal,
23,Male,Confucianism,Cantonese,Master or above,5,Friends/Extended Family/Neighbour,Basketball Court,0,VA room,2,Strongly Disagree,No,28/01/2020,Partly Like,
33,Female,Buddhism,Thai,Secondary School/Associate Degree/Diploma,2,Friends/Extended Family/Neighbour,Hall,10,Library,1,Agree,No,29/01/2020,Partly Like,
36,Male,Taoism,Cantonese,Master or above,5,School Website,Hall,0,Hall,2,Strongly Agree,No,28/01/2020,Strongly Dislike,
39,Female,Catholicism,Vietnamese,Master or above,5,Newspaper/ Magazine,Chem Lab,9,Hall,0,Strongly Disagree,No,28/01/2020,Partly Like,
46,Female,Islam,Mandarin,Master or above,2,Social Media,VA room,0,Library,9,Agree,Yes,29/01/2020,Normal,
45,Male,Sikhism,Mandarin,Primary School or below,4,Friends/Extended Family/Neighbour,Basketball Court,0,Basketball Court,8,Agree,No,28/01/2020,Partly Dislike,
40,Non-binary,Catholicism,Cantonese,University,3,Newspaper/ Magazine,Phy Lab,1,VA room,1,Neutral,Yes,28/01/2020,Strongly Like,
39,Male,Buddhism,Cantonese,University,2,School Website,Bio Lab,6,Basketball Court,6,Neutral,No,28/01/2020,Partly Dislike,
47,Female,Sikhism,Cantonese,Primary School or below,1,Social Media,Library,3,Canteen,4,Strongly Agree,Yes,28/01/2020,Normal,
48,Male,Sikhism,Indonesian,University,4,School Website,Bio Lab,7,Library,1,Agree,Yes,28/01/2020,Partly Like,
58,Female,Sikhism,Filipino,Master or above,5,Newspaper/ Magazine,Canteen,5,Bio Lab,4,Neutral,Yes,28/01/2020,Partly Like,
57,Female,Catholicism,Filipino,Secondary School/Associate Degree/Diploma,3,Newspaper/ Magazine,Bio Lab,8,VA room,2,Disagree,No,29/01/2020,Normal,
33,Female,Chinese God,Cantonese,Secondary School/Associate Degree/Diploma,5,Friends/Extended Family/Neighbour,Canteen,2,Basketball Court,2,Neutral,Yes,29/01/2020,Strongly Like,
27,Male,Buddhism,Filipino,Primary School or below,2,Newspaper/ Magazine,Bio Lab,10,Canteen,5,Strongly Disagree,No,29/01/2020,Partly Dislike,
20,Female,Catholicism,Mandarin,Primary School or below,4,School Website,Phy Lab,0,Canteen,5,Agree,Yes,28/01/2020,Strongly Like,
57,Male,Islam,Mandarin,Primary School or below,3,School Website,Phy Lab,3,Phy Lab,3,Disagree,Yes,29/01/2020,Normal,
26,Female,Buddhism,Vietnamese,Primary School or below,0,Friends/Extended Family/Neighbour,Hall,1,VA room,10,Disagree,Yes,29/01/2020,Strongly Like,
42,Male,Chinese God,Indonesian,Primary School or below,0,Social Media,Chem Lab,5,Phy Lab,0,Agree,No,29/01/2020,Strongly Dislike,
24,Female,Islam,English,Secondary School/Associate Degree/Diploma,2,School Website,Bio Lab,8,Basketball Court,4,Strongly Disagree,No,29/01/2020,Strongly Like,
41,Female,Taoism,Filipino,Primary School or below,4,Newspaper/ Magazine,Library,6,Hall,6,Neutral,No,28/01/2020,Partly Like,
21,Female,Taoism,Thai,Secondary School/Associate Degree/Diploma,1,School Website,Library,5,Hall,8,Strongly Disagree,No,28/01/2020,Partly Dislike,
49,Male,Catholicism,Thai,University,1,School Website,Hall,4,VA room,2,Strongly Agree,Yes,29/01/2020,Strongly Like,
57,Female,Confucianism,Filipino,University,4,School Website,Phy Lab,10,VA room,7,Disagree,No,29/01/2020,Strongly Dislike,
20,Female,Catholicism,Indonesian,Master or above,2,Friends/Extended Family/Neighbour,VA room,9,Library,4,Neutral,Yes,29/01/2020,Partly Like,
40,Male,Catholicism,Indonesian,Master or above,2,Friends/Extended Family/Neighbour,Bio Lab,10,Bio Lab,6,Neutral,Yes,29/01/2020,Normal,
44,Female,Islam,Thai,Master or above,3,Newspaper/ Magazine,VA room,8,Canteen,2,Agree,No,28/01/2020,Strongly Dislike,
52,Female,Chinese God,Vietnamese,University,2,Social Media,Library,6,Library,0,Disagree,Yes,29/01/2020,Partly Dislike,
53,Female,Sikhism,Filipino,Master or above,5,School Website,Hall,9,VA room,4,Neutral,Yes,29/01/2020,Normal,
22,Female,Taoism,Filipino,Secondary School/Associate Degree/Diploma,1,Newspaper/ Magazine,VA room,6,Basketball Court,1,Disagree,No,28/01/2020,Normal,
25,Male,Catholicism,Thai,Secondary School/Associate Degree/Diploma,0,School Website,Phy Lab,3,Bio Lab,7,Disagree,No,28/01/2020,Strongly Dislike,
32,Female,Protestantism,Filipino,Master or above,5,Friends/Extended Family/Neighbour,Chem Lab,6,VA room,0,Strongly Agree,No,28/01/2020,Strongly Dislike,
26,Male,Islam,Thai,Master or above,2,Newspaper/ Magazine,Chem Lab,9,Bio Lab,10,Disagree,No,28/01/2020,Normal,
53,Female,Catholicism,Filipino,Primary School or below,5,Newspaper/ Magazine,Hall,7,Hall,4,Strongly Disagree,No,29/01/2020,Normal,
23,Female,Confucianism,Indonesian,University,1,Newspaper/ Magazine,Phy Lab,2,Bio Lab,1,Strongly Disagree,No,29/01/2020,Partly Like,
48,Male,Confucianism,Vietnamese,Master or above,3,Friends/Extended Family/Neighbour,Library,1,Bio Lab,4,Strongly Agree,No,29/01/2020,Strongly Dislike,
52,Female,Sikhism,Cantonese,Master or above,0,School Website,VA room,7,Basketball Court,5,Strongly Agree,No,28/01/2020,Strongly Like,
48,Female,Chinese God,Indonesian,Primary School or below,5,Social Media,VA room,4,Hall,1,Neutral,Yes,29/01/2020,Normal,
50,Agender,Protestantism,Filipino,Master or above,5,Newspaper/ Magazine,Basketball Court,3,Canteen,9,Neutral,No,29/01/2020,Normal,
20,Male,Catholicism,Indonesian,Secondary School/Associate Degree/Diploma,2,School Website,Chem Lab,6,Bio Lab,1,Disagree,No,29/01/2020,Strongly Like,
39,Male,Sikhism,Thai,University,3,Social Media,Chem Lab,1,VA room,4,Agree,No,29/01/2020,Partly Like,
36,Female,Taoism,Cantonese,Master or above,3,Friends/Extended Family/Neighbour,Chem Lab,0,Canteen,5,Neutral,No,29/01/2020,Strongly Dislike,
28,Female,Hinduism,Indonesian,Primary School or below,3,Social Media,Hall,2,Basketball Court,6,Disagree,No,29/01/2020,Partly Dislike,
44,Male,Islam,Filipino,Master or above,4,School Website,Canteen,1,VA room,7,Disagree,Yes,29/01/2020,Partly Like,
40,Male,Chinese God,Indonesian,Primary School or below,0,Social Media,Chem Lab,0,Library,8,Disagree,Yes,29/01/2020,Strongly Dislike,
57,Female,Catholicism,Cantonese,Secondary School/Associate Degree/Diploma,0,Friends/Extended Family/Neighbour,Phy Lab,4,Basketball Court,5,Strongly Disagree,Yes,29/01/2020,Strongly Like,
32,Male,Confucianism,Cantonese,Secondary School/Associate Degree/Diploma,5,Friends/Extended Family/Neighbour,Phy Lab,2,Canteen,6,Agree,No,28/01/2020,Partly Like,
18,Male,Islam,Vietnamese,Master or above,1,School Website,Chem Lab,6,Phy Lab,2,Strongly Disagree,Yes,28/01/2020,Partly Dislike,
54,Female,Protestantism,Indonesian,Master or above,3,Social Media,Basketball Court,3,Bio Lab,9,Neutral,No,29/01/2020,Strongly Dislike,
28,Female,Protestantism,Vietnamese,University,4,School Website,Phy Lab,3,Hall,0,Strongly Disagree,Yes,29/01/2020,Partly Like,
41,Male,Protestantism,English,Master or above,0,Friends/Extended Family/Neighbour,Bio Lab,2,Hall,10,Neutral,Yes,29/01/2020,Strongly Like,
51,Genderqueer,Catholicism,Indonesian,Master or above,0,Friends/Extended Family/Neighbour,Canteen,3,Hall,6,Neutral,Yes,28/01/2020,Partly Dislike,
18,Female,Islam,Mandarin,Master or above,4,Friends/Extended Family/Neighbour,Basketball Court,4,VA room,6,Agree,Yes,29/01/2020,Partly Like,
21,Female,Islam,English,University,5,Friends/Extended Family/Neighbour,VA room,6,Phy Lab,8,Agree,No,29/01/2020,Strongly Like,
38,Polygender,Taoism,Thai,Secondary School/Associate Degree/Diploma,1,Social Media,Hall,7,Basketball Court,1,Disagree,No,28/01/2020,Normal,
29,Male,Taoism,Filipino,Secondary School/Associate Degree/Diploma,3,Newspaper/ Magazine,Library,2,VA room,10,Disagree,No,29/01/2020,Normal,
36,Female,Buddhism,Indonesian,Secondary School/Associate Degree/Diploma,1,School Website,Canteen,7,Canteen,1,Strongly Disagree,Yes,29/01/2020,Partly Dislike,
31,Non-binary,Islam,Indonesian,Secondary School/Associate Degree/Diploma,1,Newspaper/ Magazine,Chem Lab,0,Bio Lab,5,Neutral,Yes,28/01/2020,Strongly Dislike,
23,Female,Protestantism,Indonesian,Secondary School/Associate Degree/Diploma,2,School Website,VA room,0,Hall,8,Strongly Disagree,No,29/01/2020,Normal,
59,Male,Protestantism,English,Master or above,0,School Website,Chem Lab,2,Phy Lab,5,Neutral,Yes,29/01/2020,Strongly Dislike,
36,Male,Hinduism,Mandarin,Secondary School/Associate Degree/Diploma,1,School Website,Library,9,Phy Lab,9,Strongly Disagree,Yes,28/01/2020,Partly Dislike,
